"%s %s cycle.","%s %s cyclus"
"--Please Select--","--Selecteer a.u.b.--"
"3D Secure Card Validation","3D Secure Card Validatie"
"3D Secure Credit Card Validation","3D Secure Credit Card Validatie"
"<label>Make Check payable to:</label> %s","<label>Schrijf overboeking uit aan:</label> %s"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","Een waarde is verplicht voor live-modus. Refereer naar je CardinalCommerce overeenkomst"
"Allow Initial Fee Failure","Initiële incasso mag mislukken"
"An internal reference ID is required to save the payment profile.","Een intern referentie-ID is verplicht om het abonnement op te slaan."
"Authorize action is not available.","Autorisatie-actie is niet beschikbaar."
"Auto Bill on Next Cycle","Automatisch factureren de volgende keer"
"Automatically Invoice All Items","Factureer items automatisch"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Factureer automatisch de volgende keer indien de betaling mislukt is."
"Bank Transfer Payment","Bankoverschrijving"
"Billing Agreement status is not set.","Incasso-overeenkomst-status is niet ingesteld."
"Billing Amount","Incassohoeveelheid"
"Billing Frequency","Incassofrequentie"
"Billing Period","Incassoperiode"
"Billing Period Unit","Facturatie periode"
"Billing period unit is not defined or wrong.","Facturatie periode is niet opgegeven"
"Cannot retrieve the payment info model object.","Kan modelobject betaalmethode niet ophalen"
"Cannot retrieve the payment information object instance.","Cannot retrieve the payment information object instance."
"Cannot retrieve the payment method code.","Cannot retrieve the payment method code."
"Cannot retrieve the payment method model object.","Kan modelobject betaalmethode niet ophalen"
"Capture action is not available.","Capture action is not available."
"Card Verification Number","Verificatienummer"
"Cash On Delivery Payment","Betalen bij levering"
"Centinel API URL","Centinel API URL"
"Check / Money Order","Betaling door middel van Overboeking"
"Credit Card Number","Creditcard-nummer"
"Credit Card Type","Creditcard-maatschappij"
"Credit Card Types","Creditcard-maatschappij"
"Credit card number mismatch with credit card type.","Credit card number mismatch with credit card type."
"Credit card type is not allowed for this payment method.","Credit card type is not allowed for this payment method."
"Currency","Valuta"
"Currency code is undefined.","Valutacode is niet opgegeven"
"Customer ID is not set.","Klantnummer is niet opgegeven."
"Day","Dag"
"Debug Mode","Debug modus"
"Enabled","Ingeschakeld"
"Expiration Date","Vervaldatum"
"Full name of the person receiving the product or service paid for by the recurring payment.","Volledige naam van de persoon die het product of de dienst zal ontvangen met het abonnement"
"Incorrect credit card expiration date.","Onjuiste vervaldatum van creditcard."
"Initial Fee","Aanbetaling"
