"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","'*' -matcht elke; 'xyz*' -matcht alles dat begint met 'xyz' en niet langer met %d."
"-- Please Select --","-- Selecteer a.u.b. --"
"Add New Class","Nieuwe tariefgroep toevoegen"
"Add New Tax Rate","Nieuw BTW-tarief toevoegen"
"Add New Tax Rule","Nieuwe BTW-regel toevoegen"
"After Discount","Na korting"
"An error occurred while deleting this rate.","Er is een fout opgetreden tijdens het verwijderen van de percentage."
"An error occurred while deleting this rate. Incorrect rate ID.","Er is een fout opgetreden tijdens het verwijderen van het tarief. Een foutieve tarief ID."
"An error occurred while deleting this tax class.","Er is een fout opgetreden tijdens het verwijderen van het BTW-tarief."
"An error occurred while deleting this tax rule.","Er is een fout opgetreden bij het verwijderen van de BTW regel."
"An error occurred while saving this tax class.","Er is een fout opgetreden bij het opslaan van het BTW-tarief."
"An error occurred while saving this tax class. A class with the same name","Er is een fout opgetreden bij het opslaan van dit BTW-tarief. Een tarief met dezelfde naam"
"An error occurred while saving this tax rule.","Er is een fout opgetreden bij het opslaan van het BTW-tarief."
"Apply Customer Tax","BTW in rekening brengen:"
"Apply Discount On Prices","Bereken de korting op de prijzen."
"Apply Tax On","Bereken BTW op"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","Geef aan of kortingen op de inclusief of exclusief BTW prijs worden doorgevoerd."
"Are you sure you want to do this?","Weet u zeker dat u dit wilt?"
"Back","Terug"
"Before Discount","Voorafgaand aan korting"
"CSV","CSV"
"Calculation Settings","BTW berekeningsmethodiek"
"Catalog Prices","Catalogusprijzen"
"Class Name","Naam tariefgroep"
"Code","Interne naam"
"Country","Land"
"Custom price if available","Aangepaste prijs als deze beschikbaar is"
"Customer Tax Class","BTW-tariefgroep klant"
"Customer Tax Class Information","Gegevens BTW-tariefgroep klant"
"Customer Tax Classes","BTW-tariefgroepen klant"
"Default Country","Standaard land"
"Default Post Code","Standaard postcode"
"Default State","Standaard provincie"
"Default Tax Destination Calculation","Land van herkomst"
"Delete Class","Tariefgroep verwijderen"
"Delete Rate","Tarief verwijderen"
"Delete Rule","Regel verwijderen"
"Display Full Tax Summary","Volledig BTW-overzicht tonen"
"Display Prices","Prijzen tonen"
"Display Product Prices In Catalog","Productprijzen tonen in catalogus"
"Display Shipping Amount","Verzendkosten tonen"
"Display Shipping Prices","Transportkosten tonen"
"Display Subtotal","Subtotaal tonen"
"Display Zero Tax Subtotal","BTW van nul tonen in subtotaal"
"Edit Class","Tariefgroep bewerken"
"Edit Class '%s'","Bewerken van tariefgroep ‘%s’"
"Edit Rule","Regel bewerken"
"Edit Tax Rate","Bewerk BTW-tarief"
"Excel XML","Excel XML"
"Excl. Tax","Excl. BTW"
"Excl. Tax:","Excl. BTW:"
"Excluding Tax","Exclusief BTW"
"Export Tax Rates","Exporteer BTW-tarieven"
"Grand Total (Excl. Tax)","Totaal (excl. BTW)"
"Grand Total (Excl.Tax)","Totaal (excl. BTW)"
"Grand Total (Incl. Tax)","Totaal (incl. BTW)"
"Grand Total (Incl.Tax)","Totaal (incl. BTW)"
"Grand Total Excl. Tax","Totaal (excl. BTW)"
"Grand Total Incl. Tax","Totaal (incl. BTW)"
"Import / Export Tax Rates","BTW-tarieven in- en exporteren"
"Import Tax Rates","BTW-groepen importeren"
"Inc. Tax","Incl. BTW"
"Incl. Tax","Incl. BTW"
"Incl. Tax:","Incl. BTW:"
"Include Tax In Grand Total","BTW toevoegen aan eindtotaal"
"Including Tax","Inclusief BTW"
"Including and Excluding Tax","In- en exclusief BTW"
"Invalid file format upload attempt","Poging ongeldig bestandsformaat te uploaden"
"Invalid file upload attempt","Poging Ongeldig bestand te uploaden"
"Manage Customer Tax Classes","Beheer BTW-groepen klanten"
"Manage Product Tax Classes","Beheer BTW-groepen producten"
"Manage Tax Rates","Beheer BTW-tarieven"
"Manage Tax Rules","Beheer BTW-regels"
"Manage Tax Zones & Rates","Beheer belastingzones & tarieven"
"Name","Naam"
"New Class","Nieuwe BTW-groep"
"New Rule","Nieuwe regel"
"New Tax Rate","Nieuw BTW-tarief"
"No","Nee"
"None","Geen"
"One of the country has invalid code.","Eén van de landen heeft een ongeldige code"
"Orders, Invoices, Credit Memos Display Settings","Instellingen vertoning voor bestellingen, facturen, creditfacturen"
"Original price only","Alleen oorspronkelijke prijs"
"Price Display Settings","Prijsweergave instellingen"
"Priority","Prioriteit"
"Product Tax Class","BTW-tariefgroep product"
"Product Tax Class Information","BTW-tariefgegevens van product"
"Product Tax Classes","BTW-groepen product"
"Range From","Van"
"Range To","Tot"
"Rate","Tarief"
"Rate Percent","Percentage"
"Reset","Herstellen"
"Row Total","Rijtotaal"
"Sales","Verkopen"
"Save Class","Tariefgroep opslaan"
"Save Rate","Tarief opslaan"
"Save Rule","Regel opslaan"
"Save and Continue Edit","Opslaan en bewerken continueren"
"Shipping & Handling (Excl.Tax)","Verzend- en verwerkingskosten (excl. BTW)"
"Shipping & Handling (Incl.Tax)","Verzend- en verwerkingskosten (incl. BTW)"
"Shipping & Handling Tax","BTW Verzend- en verwerkingskosten"
"Shipping (Excl. Tax)","Verzendkosten (excl. BTW)"
"Shipping (Incl. Tax)","Verzendkosten (incl. BTW)"
"Shipping Excl. Tax (%s)","Verzendkosten excl. BTW (%s)"
"Shipping Incl. Tax (%s)","Verzendkosten incl. BTW (%s)"
"Shipping Prices","Verzendkosten"
"Shopping Cart Display Settings","Winkelwagen weergave instellingen"
"Sort Order","Sorteervolgorde"
"State","Provincie"
"State/Region","Provincie"
"Subtotal (Excl. Tax)","Subtotaal (excl. BTW)"
"Subtotal (Excl.Tax)","Subtotaal (excl. BTW)"
"Subtotal (Incl. Tax)","Subtotaal (incl. BTW)"
"Subtotal (Incl.Tax)","Subtotaal (incl. BTW)"
"Tax","BTW"
"Tax Calculation Based On","BTW berekening op basis van"
"Tax Calculation Method Based On","BTW berekeningsmethodiek o.b.v"
"Tax Class for Shipping","BTW-groep voor verzending"
"Tax Classes","BTW-tariefgroepen"
"Tax Identifier","BTW-identifier"
"Tax Rate","BTW-tarief"
"Tax Rate Information","BTW-tariefgegevens"
"Tax Rule Information","BTW-tariefgroep-gegevens"
"Tax Rules","BTW-regels"
"Tax Section","Sectie BTW"
"Tax Titles","BTW namen"
"Tax rate cannot be removed. It exists in tax rule","BTW-regel kan niet worden verwijderd, er bestaald al een BTW-regel."
"Tax rates at the same priority are added, others are compounded.","BTW-tarieven met dezelfde prioriteit worden opgeteld, andere worden gecombineerd."
"The tax class has been deleted.","Dit BTW percentage is verwijderd"
"The tax class has been saved.","Dit BTW percentage is opgeslagen"
"The tax rate has been deleted.","Dit BTW percentage is verwijderd"
