"All Websites","Alle websites"
"Apply Discounts To FPT","Kortingen toepassen op FPT"
"Apply Tax To FPT","BTW toepassen op FPT"
"Display Prices In Emails","Toon prijzen in Email"
"Display Prices In Product Lists","Prijzen tonen in productoverzicht"
"Display Prices In Sales Modules","Prijzen Tonen in verkoop modules"
"Display Prices On Product View Page","Prijzen tonen op product pagina"
"Enable FPT","Schakel FPT in"
"Excluding FPT","Exclusief FPT"
"Excluding FPT, FPT description, final price","Exclusief FPT en FPT omschrijving. Eindprijs."
"Fixed Product Tax","Vast product BTW tarief"
"Fixed Product Taxes","Vast product BTW tarieven"
"Include FPT In Subtotal","Inclusief FPT in subtotaal"
"Including FPT and FPT description","Inclusief FPT en FPT omschrijving"
"Including FPT and FPT description [incl. FPT VAT]","Inclusief FPT en FPT omschrijving [incl. FPT BTW]"
"Including FPT only","Inclusief FPT"
"Total","Totaal"
"Total Incl. Tax","Totaal inclusief BTW"
"Total incl. tax","Totaal inclusief BTW"
