"%s","%s"
"-- Please Select --","-- Maak een keuze --"
"Actions","Actie"
"Add Layout Update","Voeg Layout Update toe"
"Add New Widget Instance","Voeg Widget toe"
"All","Alles"
"All Pages","Alle paginas"
"All Product Types","Alle product types"
"Anchor Categories","Verankerde Categorieen"
"Apply","Toepassen"
"Assign to Store Views","Koppel aan Storeviews"
"Big Image","Grote afbeelding"
"Block Reference","Blok referentie"
"CMS","CMS"
"Categories","Categorieen"
"Choose...","Kies..."
"Close","Sluit"
"Continue","Verder gaan"
"Default Template","Standaard sjabloon"
"Delete","Verwijderen"
"Design Package/Theme","Ontwerp Pakket/Thema"
"Export to:","Exporteer naar:"
"Frontend Properties","Frontend eigenschappen"
"Generic Pages","Generieke paginas"
"Images","Afbeeldingen"
"Insert Widget","Widget invoegen"
"Insert Widget...","Widget invoegen..."
"Layout Updates","Layout update"
"Manage Widget Instances","Beheer eigenschappen widget"
"New Instance","Nieuw item"
"New Widget Instance","Nieuw widget"
"Next page","Volgende pagina's"
"Non-Anchor Categories","Niet verankerde categorieen"
"Not Selected","Niet geselecteerd"
"Open Chooser","Kiezer openen"
"Page","Pagina"
"Please Select Block Reference First","Selecteer eerst blockreferentie"
"Previous page","Vorige pagina"
"Products","Producten"
"Remove Layout Update","Verwijder Layout update"
"Save and Continue Edit","Opslaan en verder bewerken"
"Select All","Alles selecteren"
"Select Visible","Selecteer zichtbare"
"Settings","Instellingen"
"Sort Order","Sorteervolgorde"
"Sort Order of widget instances in the same block reference","Sorteervolgorde van widgets"
"Specific %s","Specificeer %s"
"Specified Page","Specifieke pagina"
"Template","Sjabloon"
"The information in this tab has been changed.","De informatie in dit tabblad is gewijzigd"
"The widget instance has been deleted.","De widget is gewijzigd"
"The widget instance has been saved.","De widget is opgeslagen"
"This tab contains invalid data. Please solve the problem before saving.","Dit tabblad bevat ongeldige waardes. Corrigeer en sla opnieuw op"
"Thumbnail","Thumbnail"
"Total %d records found","%d records gevonden"
"Type","Soort"
"Unselect All","Deselecteer alles"
"Unselect Visible","Deselecteer zichtbare"
"View","Bekijk"
"Widget","Widget"
"Widget ""%s""","Widget ""%s"""
"Widget ID","Widget-ID"
"Widget Insertion","Widget Insertion"
"Widget Instance","Widget instance"
"Widget Instance Title","Widget naam"
"Widget Options","Widget opties"
"Widget Type","Widget type"
"Widget Type is not specified","Widget type is niet opgegeven"
"Widget instance is not full complete to create.","Widget is niet compleet"
"Widgets","Widget"
"Wrong widget instance specified.","Verkeerde widget-instance aangegeven"
"items selected","items geselecteerd"
"of %s pages","van %s pagina's"
"per page","per pagina"
