"Colors and Images","Kleuren en afbeeldingen"
"Width","Breedte"
"Height","Hoogte"
"Border Radius","Border Radius"
"Width (Picker)","Breedte (Picker)"
"Height (Picker)","Hoogte (Picker)"
"Border Radius (Picker)","Border Radius (Picker)"
"Width (State)","Breedte (State)"
"Height (State)","Hoogte (State)"
"Border Radius (State)","Border Radius (State)"
"pixels","pixels"
"Color","Kleur"
"Normal Image","Normale afbeelding"
"Selected Image","Geselecteerde afbeelding"
"Normal Hovered Image","Normale afbeelding :hover"
"Selected Hovered Image","Geselecteerde afbeelding :hover"
"Colors and Images (Horizontal)","Kleuren en afbeeldingen (horizontaal)"
"Colors and Images (Vertical)","Kleuren en afbeeldingen (verticaal)"
"Image","Afbeelding"
"Mouse Over","Mouse Over"
"Selected Mouse Over","Geselecteerde Mouse Over"
"Colors and Images (Picker)","Kleuren en afbeeldingen (Picker)"
"Colors and Images (State)","Kleuren en afbeeldingen (State)"
"In State","In State"
