"%s is not a number","%s is not a number"
"%s is not non-negative number","%s is not non-negative number"
"%s is not positive number","%s is not positive number"
"Configure Mana Extensions","Configure Mana Extensions"
"General","Algemeen"
"General Information","Algemene informatie"
"Loader ""%s"" argument ""%s"" not provided.","Loader ""%s"" argument ""%s"" not provided."
"Please fill in %s field","Please fill in %s field"
"Please select at least one grid row first.","Please select at least one grid row first."
"Same As For All Stores","Same As For All Stores"
"Your changes are successfully saved.","Your changes are successfully saved."
