"AJAX Settings","AJAX Instellingen"
"Any program which browses store pages (be it search engine bot or customer's browser) sends information about itself (so called user agent string). Field above is used to match any of semicolon separated values inside user agent string and to decide whether bot or real user is currently browsing.","Any program which browses store pages (be it search engine bot or customer's browser) sends information about itself (so called user agent string). Field above is used to match any of semicolon separated values inside user agent string and to decide whether bot or real user is currently browsing."
"Bot Names","Bot namen"
"Content Processing Method","Content-verwerkings-methode"
"Enable this option to see error messages if AJAX features do not work as intended","Enable this option to see error messages if AJAX features do not work as intended"
"General","Algemeen"
"Is Enabled","Is ingeschakeld"
"MANAdev General Settings","MANAdev General Settings"
"Mark with CSS class","Markeer met CSS-class"
"No","Nee"
"Recommended setting is 'Wrap into HTML element'. Other settings provided for backward compatibility.","Aanbevolen instelling is 'Wrap in HTML-element'. Overige instellingen bestaan voor backwards-compabiliteit."
"Recommended setting is 'Yes for Users, No for Search Bots' because search bots crawl non-AJAX pages better while users prefer AJAX page refreshes","Aanbevolen instelling is 'Ja voor gebruikers, nee voor zoek-bots' omdat zoekbots niet-AJAX pagina's beter crawlen terwijl gebruikers AJAX preferen voor verversen"
"Show network errors in frontend","Toon netwerkfouten op frontend"
"Wrap into HTML element","Wrap in HTML-element"
"Yes","Ja"
"Yes for Users, No for Search Bots (Listed Below)","Ja voor gebruiker, nee voor zoek-bots (Zie lijst hieronder)"
