"Attribute Pages","Attribute Pages"
"Attribute Pages (MANAdev)","Attribute Pages (MANAdev)"
"Recalculates attribute page global and store-level settings","Recalculates attribute page global and store-level settings"
" Products"," Products"
"Title","Title"
"Option Pages (MANAdev)","Option Pages (MANAdev)"
"Recalculates option page global and store-level settings","Recalculates option page global and store-level settings"
"Edit Attribute Page '%s'","Edit Attribute Page '%s'"
"Create","Create"
"%s - Attribute Page","%s - Attribute Page"
"New Attribute Page","New Attribute Page"
"Are you sure you want to delete this attribute page and all related option pages?","Are you sure you want to delete this attribute page and all related option pages?"
"Attributes","Attributes"
"General","General"
"SEO","SEO"
"Design","Design"
"Attribute Page","Attribute Page"
"Option Page Defaults","Option Page Defaults"
"Based On Attribute(s)","Based On Attribute(s)"
"Attribute","Attribute"
"Status","Status"
"Content","Content"
"Description","Description"
"Enabled","Enabled"
"Disabled","Disabled"
"Include In Top Menu","Include In Top Menu"
"Other Settings","Other Settings"
"URL Key","URL Key"
"Page Title","Page Title"
"Show Alphabetic Search","Show Alphabetic Search"
"Page Layout","Pagina lay-out"
"Layout XML","Lay-out XML"
"Custom Design","Custom Ontwerp"
"Active From","Actief Van"
"Active To","Actief Tot"
"Theme","Thema"
"Include Attribute Name In URL Key","Include Attribute Name In URL Key"
"Show Products","Show Products"
"Product List","Product List"
"Available Sort By","Available Sort By"
"Default Sort By","Default Sort By"
"Layered Navigation","Layered Navigation"
"Use Title","Use Title"
"Use Attribute Labels","Use Attribute Labels"
"Use Description","Use Description"
"Non existent attribute pages can not be customized on store level.","Non existent attribute pages can not be customized on store level."
"This attribute page no longer exists.","This attribute page no longer exists."
"At least one attribute have to be selected","At least one attribute have to be selected"
"Default Sort By value is not selected in Available Sort By (in Option Page Defaults: Display tab)","Default Sort By value is not selected in Available Sort By (in Option Page Defaults: Display tab)"
"Default Sort By value is not selected in Available Sort By (in Display tab)","Default Sort By value is not selected in Available Sort By (in Display tab)"
"Attribute page can only be deleted globally","Attribute page can only be deleted globally"
"Attribute page and all related option pages are deleted successfully!","Attribute page and all related option pages are deleted successfully!"
"Attribute page based on specified attribute(s) already exists.","Attribute page based on specified attribute(s) already exists."
"Attribute and Option Pages","Attribute and Option Pages"
"Attribute Page Titles","Attribute Page Titles"
"Template","Template"
"Allowed variable is {{attribute_labels}} which adds labels of all selected attributes separated as specified below","Allowed variable is {{attribute_labels}} which adds labels of all selected attributes separated as specified below"
"Separated By","Separated By"
"Attribute labels are separated by this separator","Attribute labels are separated by this separator"
"Last Label Separated By","Last Label Separated By"
"If not empty, last attribute label is separated by this separator","If not empty, last attribute label is separated by this separator"
"MANAdev Attribute and Option Pages","MANAdev Attribute and Option Pages"
"%s Option Pages","%s Option Pages"
"View Option Pages","View Option Pages"
"Attribute page id is not specified.","Attribute page id is not specified."
"Option page id is not specified.","Option page id is not specified."
"This option page no longer exists.","This option page no longer exists."
"%s - Option Page","%s - Option Page"
"Use Option Labels","Use Option Labels"
"Same For All Option Pages","Same For All Option Pages"
"Based On Option(s)","Based On Option(s)"
"Option Page Titles","Option Page Titles"
"Allowed variable is {{option_labels}} which adds labels of all selected options separated as specified below","Allowed variable is {{option_labels}} which adds labels of all selected options separated as specified below"
"Option labels are separated by this separator","Option labels are separated by this separator"
