"CDATA section (<![CDATA[ ]]>)","CDATA section (<![CDATA[ ]]>)"
"Configure Mana Extensions","Configure Mana Extensions"
"HTML parser error %s: %s expected%s","HTML parser error %s: %s expected%s"
"HTML parser error %s: %s or %s expected%s","HTML parser error %s: %s or %s expected%s"
"HTML parser error %s: closing tag for %s expected%s","HTML parser error %s: closing tag for %s expected%s"
"HTML parser error %s: unexpected %s%s","HTML parser error %s: unexpected %s%s"
"HTML read error %s: unexpected character%s","HTML read error %s: unexpected character%s"
"HTML read error %s: unexpected end of text%s","HTML read error %s: unexpected end of text%s"
"HTML read error %s: whitespace not expected%s","HTML read error %s: whitespace not expected%s"
"Loading...","Bezig met laden..."
"Please wait...","Wacht a.u.b..."
"Same For All Stores","Same For All Stores"
"This Magento installation contains pending database installation/upgrade scripts. Please turn off Magento compilation feature while installing/upgrading new modules in Admin Panel menu System->Tools->Compilation.","This Magento installation contains pending database installation/upgrade scripts. Please turn off Magento compilation feature while installing/upgrading new modules in Admin Panel menu System->Tools->Compilation."
"Use System Configuration","Gerbuik systeem-configuratie"
"attribute value","attribute value"
"comment (<!-- -->)","comment (<!-- -->)"
"element or attribute name","element or attribute name"
"nothing","nothing"
"raw text","raw text"
