"%s/%s/%s: %s parameter is required","%s/%s/%s: %s parameter is required"
"Altering database columns currently not supported","Altering database columns currently not supported"
"Altering database contsraints currently not supported","Altering database contsraints currently not supported"
"Altering database keys currently not supported","Altering database keys currently not supported"
"Default Values","Standaardwaarden"
"Entities with circular dependencies found: %s","Entities with circular dependencies found: %s"
"Propagate default values throughout the system","Propagate default values throughout the system"
"Replica model %s not found.","Replica model %s not found."
"Store-level entity %s name should end with _store","Store-level entity %s name should end with _store"
"Table for entity %s not defined","Table for entity %s not defined"
"Two attributes cannot define the same database constraint %s.%s","Two attributes cannot define the same database constraint %s.%s"
"Two attributes cannot define the same database key %s.%s","Two attributes cannot define the same database key %s.%s"
"Two attributes cannot use the same database column %s.%s","Two attributes cannot use the same database column %s.%s"
"Use Default","Gebruik standaard"
