"All filters are shown in layered navigation ordered by position","All filters are shown in layered navigation ordered by position"
"Can Store Customer Select Multiple Values","Can Store Customer Select Multiple Values"
"Category","Categorie"
"Code","Interne naam"
"Count","Aantal"
"Count (selected at the top)","Count (selected at the top)"
"Display Filter Items As","Display Filter Items As"
"Fields With Non-Default Values (Bit Mask)","Fields With Non-Default Values (Bit Mask)"
"Filters of type ""%s"" can not be displayed - no template installed.","Filters of type ""%s"" can not be displayed - no template installed."
"Is Visible In Category","Is Visible In Category"
"Is Visible In Search","Is Visible In Search"
"Logical AND","Logical AND"
"Logical OR","Logical OR"
"Name","Naam"
"Name (selected at the top)","Name (selected at the top)"
"Position","Positie"
"Position (selected at the top)","Position (selected at the top)"
"Text (Multiple Select Enabled)","Text (Multiple Select Enabled)"
"Text (One Item Can Be Selected At A Time)","Text (One Item Can Be Selected At A Time)"
"Use Product Attribute","Gebruik product-attribuut"
