"Search Engine Optimization","Search Engine Optimization"
"Quick Search Page URL Key","Quick Search Page URL Key"
"Maximum Correction Count","Maximum Correction Count"
"In case of misspelled URL system tries to correct or reduce misspelled words and get valid executable URL. This parameter specifies how many spelling errors should be corrected until system shows 404 'Page not found' page. URL processing time grows exponentially depending on ths parameter, so keep it low.","In case of misspelled URL system tries to correct or reduce misspelled words and get valid executable URL. This parameter specifies how many spelling errors should be corrected until system shows 404 'Page not found' page. URL processing time grows exponentially depending on ths parameter, so keep it low."
"SEO Schemas","SEO Schemas"
"SEO URL Keys","SEO URL Keys"
"Active","Active"
"Redirect","Redirect"
"Disabled","Disabled"
"Status","Status"
"Code","Code"
"Name","Name"
"Query Separator","Query Separator"
"Parameter Separator","Parameter Separator"
"Value Separator","Value Separator"
"Multiple Value Separator","Multiple Value Separator"
"%s - SEO Schema","%s - SEO Schema"
"Edit SEO schema '%s'","Edit SEO schema '%s'"
"Special Symbols in URL","Special Symbols in URL"
"Toolbar URL Keys","Toolbar URL Keys"
"URL Settings","URL Settings"
"General","General"
"Separators","Separators"
"Price Separator","Price Separator"
"Redirect To Same Page With Correct Parameter Order","Redirect To Same Page With Correct Parameter Order"
"Redirect Applied Category Filters To Subcategory Page","Redirect Applied Category Filters To Subcategory Page"
"Redirects","Redirects"
"Other","Other"
"Include Filter Names Before Values","Include Filter Names Before Values"
"Use Attribute Labels Instead Of Attribute Codes","Use Attribute Labels Instead Of Attribute Codes"
"Use Range Bounds in Price Filters","Use Range Bounds in Price Filters"
"URL Key","URL Key"
"Position","Position"
"Symbol","Symbol"
"Substitute","Substitute"
"Add","Add"
"Remove Selected","Remove Selected"
"Close","Close"
"Apply","Apply"
"Save","Save"
"Duplicate","Duplicate"
"Delete","Delete"
"Are you sure you want to delete this SEO schema?","Are you sure you want to delete this SEO schema?"
"SEO schema is deleted successfully!","SEO schema is deleted successfully!"
"You can't delete active SEO schema.","You can't delete active SEO schema."
"SEO schema is already deleted.","SEO schema is already deleted."
