"All Allowed Countries","Alle toegestane landen"
"Disable","Deactiveren"
"Enable","Activeren"
"Enabled","Geactiveerd"
"Calculate Handling Fee","Berekening Handlingkosten"
"Carrier and Method Name Configuration","Verzender en Verzendmethode Configuratie"
"Check documentation for more related information.","Controleer de documentatie voor meer informatie."
"Displayed Error Message","Foutmelding indien niet beschikbaar"
"DPD DELISprint Account Number","DPD DELIsprint Accountnummer"
"DPD DELISprint Account Name","DPD DELIsprint Accountnaam"
"DPD DELISprint Track & Trace","DPD DELIsprint Track & Trace Mailbox"
"Fixed","Vast bedrag"
"Free Shipping Configuration","Gratis Verzending Configuratie"
"Free shipping with minimum order amount","Gratis verzending toestaan"
"Handling Costs","Handlingkosten"
"Maximum Order Value","Maximum orderwaarde"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Maximum gewicht"
"Method Name","Omschrijving"
"Method name","Omschrijving"
"Mindstretch License Key","Licentiecode"
"Minimum Order Value","Minimum orderwaarde"
"Minimum order amount for free shipping","Minimum orderwaarde voor gratis verzending"
"No","Nee"
"None","Geen"
"Package Type","Pakkettype"
"Per Item","Per stuk"
"Per Order","Per bestelling"
"Percent","Percentage"
"Please enter the packagetype: NP for Normal Packages, KP for Small Packages","Selecteer het pakkettype. NP is voor normale pakketten. KP is voor kleine pakketten"
"Please enter your license key to use this extension. A valid license key starts with TNTP.","Voer een geldige licentiecode in. Een geldige licentiecode begint met TNTP"
"Please enter your license key to use this extension. A valid license key starts with GLSB","Voer een geldige licentiecode in. Een geldige licentiecode begint met GLSB"
"Please enter your license key to use this extension. A valid license key starts with DPDB","Voer een geldige licentiecode in. Een geldige licentiecode begint met DPDB"
"Please enter your license key to use this extension. A valid license key starts with DHL4.","Voer een geldige licentiecode in. Een geldige licentiecode begint met DHL4"
"PostNL Parcelware Account Name","PostNL Parcelware Accountnaam"
"PostNL Parcelware Account Number","PostNL Parcelware Accountnummer"
"PostNL Parcelware Track &amp; Trace","PostNL Parcelware Track &amp; Trace Mailbox"
"Shipping Costs","Verzendkosten"
"Ship to Specific countries","Verzending naar specifieke landen"
"Ship to applicable countries","Verzending naar beschikbare landen"
"Shipping and Handling Costs Configuration","Verzendkosten en Handlingkosting Configuratie"
"Show Shipping Method based on Country, Weight or Subtotal","Toon Verzendmethode op basis van Land, Gewicht of Subtotaal"
"Sort order","Sorteervolgorde"
"Specific Carrier Configuration","Specifieke Carrier Configuratie"
"This is a required field.","Dit is een verplicht veld"
"Title","Titel"
"Type","Berekening verzendkosten"
"Weight From","Minimum ordergewicht"
"Weight To","Maximum ordergewicht"
"Yes","Ja"
"You can find this in your Account Panel.","U kunt dit vinden in uw verzendsoftware."
