"Available after subscription only","Beschikbaar op basis van abonnement"
"Host","Hostnaam"
"Mindstretch Track and Trace","Track & Trace"
"Password","Wachtwoord"
"Secured Connection","Beveiligde verbinding"
"Secured connection (SSL) to mail server.","Beveiligde SSL verbinding naar uw mailserver"
"The password of your mail account","Het wachtwoord van uw mailaccount"
"The unique key to be sure you're importing the right mails","De unieke waarde om er zeker van te zijn dat u de juiste e-mails verwerkt"
"The username of your mail account","De gebruikersnaam van uw mailaccount"
"This is the address of your mailserver. For example: mail.yourdomain.com","Dit is het adres van uw mailserver. Bijvoorbeeld: mail.uwdomein.com"
"Track and Trace","Track & Trace"
"Unique Key","Unieke key"
"Use SMS Gateway","Gebruik SMS notificaties"
"Username","Gebruikersnaam"
