"Initiated payment process.","Betaalproces gestart."
"You are redirected to the payment gateway in a few seconds.","U wordt in enkele seconden doorgestuurd naar de betaalpagina."
"An error occurred. You are redirected back to the store.","Een storing trad op. U wordt teruggestuurd naar de winkel."
"Payment Status: %s.","Betaalstatus: %s."
"Account Holder Name: %s.","Naam rekeninghouder: %s."
"City: %s.","Stad: %s."
"Bank Account Number: %s.","Bankrekeningnummer: %s."
"Required fields missing.","Verplichte velden ontbreken."
"--Please Select--","--Selecteer--"
"Test Issuer","Test Bank"
"Selected currency (%s) is not compatible with this payment method.","De gekozen valuta (%s) is niet compatibel met deze betaalwijze."
"Order %s","Bestelling %s"
"Automatic invoice.","Automatische factuur."
"Payment failed. Please try again.","Betaling mislukt. Probeer a.u.b. opnieuw."
"Issuer: %s","Bank: %s"
"Transaction ID: %s","Transactie ID: %s"
"Issuer","Bank"
"You will be redirected to the payment gateway after placing an order.","U wordt doorgestuurd naar de betaalpagina na het plaatsen van een bestelling."
"Pending Payment Status","Nog Niet Betaald Status"
"Processing Order Status","In Verwerking Status"
"Test Mode","Testmodus"
"Debug Mode","Debug modus"
"See database table <em>idealadvanced_api_debug</em>.","Zie database tabel <em>idealadvanced_api_debug</em>."
"Send Order Email","Verstuur bestelling email"
"Create Invoice","Factuur aanmaken"
"Send Invoice Email","Verstuur factuur email"
"Acceptant Bank","Acceptant bank"
"Acceptant ID","Acceptant ID"
"Sub ID","Sub ID"
"Private Certificate","Eigen certificaat"
"Allowed file types: .cer","Toegestane bestandstypen: .cer"
"Private Key","Eigen sleutel"
"Allowed file types: .pem","Toegestane bestandstypen: .pem"
"Private Key Password","Wachtwoord eigen sleutel"
"iDEAL Certificate","iDEAL certificaat"
"Allowed file types: .cer","Toegestane bestandstypen: .cer"
