"Auto refresh CATEGORY cache","Auto-ververs CATEGORIE-cache"
"Automatically refresh the CATEGORY BLOCK HTML cache to update the category navigation when the visibility setting for a category is changed.","Ververs automatisch de CATEGORY BLOCK HTML cache en werk de categorie navigatie bij wanneer de zichbaarheids-instelling voor een categorie is veranderd."
"Category Mode","Categorie modus"
"Disable","Uitschakelen"
"Display a message when a hidden entity is accessed?","Toon een bericht wanneer een verborgen pagina wordt geladen."
"Enable","Inschakelen"
"Enable Module","Module inschakelen"
"Format: [route]/[controller]/[action]","Format: [route]/[controller]/[action]"
"General","Algemeen"
"Groups Catalog 2","Groups Catalog 2"
"GroupsCatalog Categories","Klantgroepen Categorieën"
"GroupsCatalog Products","Klantgroepen producten"
"Hide Categories from","Verberg categorieën voor"
"Hide Products from","Verberg producten voor"
"Hide categories by default","Verberg categorieën standaard"
"Hide categories from these selected groups by default and show them to all others.","Verberg categorieen standaard voor deze geselecteerde groepen en toon bij alle anderen."
"Hide from Groups","Verberg voor groepen"
"Hide products by default","Verberg producten standaard"
"Hide products from these selected groups by default and show them to all others.","Verberg producten standaard voor deze geselecteerde groepen en toon bij alle anderen."
"How to handle guests accessing a hidden entity","Hoe omgaan met niet ingelogde bezoekers die een verborgen pagina proberen te laden."
"How to handle logged in customers accessing a hidden entity","Hoe om te gaan met ingelogde bezoekers die een verborgen pagina proberen te laden."
"Message for guests","Bericht voor niet ingelogde bezoekers"
"Message for logged in customers","Bericht voor ingelogde bezoekers"
"Netzarbeiter Extensions","Netzarbeiter Modules"
"No","Nee"
"Product Mode","Productmodus"
"Redirect","Doorverwijzen"
"Redirect route for guests","Doorverwijs-route voor niet ingelogde bezoekers"
"Redirect route for logged in customers","Doorverwijs-route voor ingelogde bezoekers."
"Reindex Customergroup Category Visibility","Herindexeer klantgroep categorie-zichtbaarheid."
"Reindex Customergroup Product Visibility","Herindexeer klantgroep product-zichtbaarheid."
"Show 404 Page","Toon 404-pagina"
"Show Categories to","Toon categorieën voor"
"Show Products to","Toon producten voor"
"Show categories by default","Toon categorieën standaard"
"Show categories to these selected groups by default and hide them from all others.","Toon categorieen standaard voor deze geselecteerde groepen en verberg bij alle anderen."
"Show products by default","Toon producten standaard"
"Show products to these selected groups by default and hide them from all others.","Toon producten standaard voor deze geselecteerde groepen en verberg bij alle anderen."
"Show to Groups","Toon voor groepen"
"Yes","Ja"
"[ NONE ]","[ GEEN ]"
"[ USE DEFAULT ]","[ STANDAARD ]"
