"All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) - International","Alle Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) - International"
"CartaSi (powered by Moneybookers) - Italy","CartaSi - Italië"
"Carte Bleue (powered by Moneybookers) - France","Carte Bleue  - Frankrijk"
"Customer ID","Klant-ID"
"Dankort (powered by Moneybookers) - Denmark","Dankort - Denemarken"
"EPS Online-Überweisung (powered by Moneybookers) - Austria","EPS Online-Überweisung  - Oostenrijk"
"Enabled","Ingeschakeld"
"Find out more about Online Bank Transfer","Meer weten over Online Overboeking"
"Giropay (powered by Moneybookers) - Germany","Giropay - Duitsland"
"Laser (powered by Moneybookers) - Ireland","Laser - Ierland"
"Lastschrift (ELV) (powered by Moneybookers) - Germany","Lastschrift (ELV) - Duitsland"
"Loading secure payment page (SSL)","Beveiligde pagina wordt geladen (SSL)"
"Maestro (powered by Moneybookers) - United Kingdom, Austria, Spain","Maestro - Groot Britannië, Oostenrijk, Spanje"
"Moneybookers","Moneybookers"
"Moneybookers Settings","Instellingen MoneyBookers"
"Moneybookers Transaction ID: %s","Moneybookers Transactie-ID: %s"
"Moneybookers eWallet","Moneybookers eWallet"
"More information about Moneybookers","Meer informatie over Moneybookers"
"Nordea Solo (powered by Moneybookers) - Finland","Nordea Solo - Finland"
"Nordea Solo (powered by Moneybookers) - Sweden","Nordea Solo  - Zweden"
"Online Bank Transfer (powered by Moneybookers)","Online betaling"
"Order ID","Bestelling-ID"
"POLi (powered by Moneybookers) - Australia","POLi - Australië"
"Payment failed.","Betaling mislukt."
"Payment from Applicable Countries","Betaling vanuit toegestane landen"
"Payment from Specific Countries","Betaling vanuit specifieke landen"
"Payment has not been processed yet.","Betaling is nog niet uitgevoerd."
"Payment was canceled.","Betaling is geannuleerd."
"Pending bank transfer created.","Overboeking in behandeling."
"Please pay your order now","Rond uw betaling af."
"Postepay (powered by Moneybookers) - Italy","Postepay - Italië"
"Powered by Moneybookers","Aangeboden door Moneybookers"
"Przelewy24 (powered by Moneybookers) - Poland","Przelewy24 - Polen"
"Sofortüberweisung (powered by Moneybookers) - Germany","Sofortüberweisung - Duitsland"
"Sort Order","Sorteervolgorde"
"The amount has been authorized and captured by Moneybookers.","Het bedrag is geautoriseerd en ontvangen door Moneybookers."
"The customer was redirected to Moneybookers.","De klant is doorgestuurd naar Moneybookers"
"The order has been canceled.","De order is geannuleerd"
"Title","Titel"
"You will be redirected to our secure payment page when you place an order.","U wordt doorgestuurd naar onze beveiligde pagina voor het plaatsen van uw bestelling."
"eNETS (powered by Moneybookers) - Singapore","eNETS - Singapore"
"iDeal (powered by Moneybookers) - Netherlands","iDeal - Nederland"
