" Referrals should enter the code at checkout or signup.","Doorverwezen personen zullen een code moeten invoeren bij het afrekenen of registreren."
"% of Points Earned By Referral","% van punten verdiend door doorverwezene"
"* Required Fields","* verplichte velden"
"Accumulated Earnings","Totale verdiensten"
"Affiliate Redirect Path","Affiliate Redirect Path"
"Are you sure?","Weet u het zeker?"
"Back","Terug"
"Customer ID","Klant-ID"
"Customer Name","Klant Name"
"Customer Referral Invitation","Affiliate uitnodiging"
"Customer Referral New Earnings Notification","'Affiliate 'Nieuwe verdiensten'-notificatie"
"Customer Referrals","Klant Affiliate"
"Delete","Verwijderd"
"Email","E-mail"
"Enable refer by URL","Doorverwijzen met URL"
"Enable refer by code","Doorverwijzen met code inschakelen"
"Enable refer by e-mail","Doorverwijzen per e-mail inschakelen"
"Example contact list:","Voorbeeld contacten:"
"Extension Developed By WWW.WDCA.CA","Extension ontwikkeld door www.wdca.ca"
"Fixed Amount","Vaste hoeveelheid"
"Fixed Amount When Referral Makes First Order","Vast bedrag wanneer doorverwezene de eerste bestelling plaatst"
"Friend' name","Vriend's naam"
"Friend's email address","Vriend's e-mail-address"
"Friend's name","Vriend's naam"
"Full Name","Volledige naam"
"Import contacts","Import contacten"
"Import contacts from sources yahoo, gmail, outlook, etc","Import contacten van gmail, outlook, etc."
"Invite One Person","Nodig één persoon uit"
"Made First Order","Eerste bestelling geplaatst"
"Message (Optional)","Bericht (Optioneel)"
"Message Sent","Bericht verzonden"
"My Referrals","Mijn doorverwijzingen"
"No","Nee"
"No referral","Geen doorverwijzing"
"Notify me when I earn points from my referral","Stel me op de hoogte als ik punten verdien."
"Notify on Referral","Stel op de hoogte bij doorverwijzing"
"Please enter a valid email address.","Vul een geldig emailadres in."
"Please enter your referral's name.","Vul de naam in van degene die u hebt doorverwezen."
"Please select referrals","Selecteer een verwijzer a.u.b."
"Please specify either a referral e-mail address or referral code.","Specificeer of het verwijzings-e-mailadres of de verwijzingscode."
"Points were successfully saved","Punten zijn succesvol opgeslagen"
"Referral Code","Doorverwijs code"
"Referral Codes and URL","Doorverwijscodes en -URL"
"Referral Customer ID","Doorverwijzing klant-ID"
"Referral E-mail","Doorverwijs e-mail"
"Referral E-mail or Code","Doorverwijs e-mail of code"
"Referral Email","Verwijzing emamil"
"Referral ID","Affiliate-ID"
"Referral Information","Doorverwijs informatie"
"Referral Name","Verwijziging naam"
"Referral Preferences","Doorverwijzing eigenschappen"
"Referral Program","Affiliate Programma"
"Referral e-mail and customer e-mail may not be the same.","Affiliate e-mail en klant e-mail mag niet het zelfde zijn"
"Referral e-mail may not be empty.","Doorverwijsde's e-mail mag niet leeg zijn."
"Referral makes any order","Doorverwezene makes any order"
"Referral makes first order","Doorverwezene plaatst eerste bestelling"
"Referral signs up to website","Doorverwezene registreert op website"
"Referral was successfully deleted","Affiliate is succesvol verwijderd"
"Referrals","Doorverwijzingen"
"Referrals should enter your e-mail address at checkout or signup.","Doorverwezen personen zullen jouw e-mail adres invullen  bij het afrekenen of inloggen."
"Referrals that access this URL are connected as referrals once they signup or place an order.","Personen die deze URL bezoeken worden gekoppeld als doorverwezen personen als ze een account aanmaken of een bestelling plaatsen."
"Referred Customer","Doorverwezen klant"
"Registered?","Geregistreerd?"
"Save Preferences","Sla instellingen op"
"Send","Stuur"
"Send Invitations","Stuur uitnodiging"
"Send Invitiation(s)","Stuur uitnodigen"
"Short Message","Korte omschrijving"
"Show in create account page","Toon in 'Maak Account Aan'-pagina"
"Show in onepage checkout","Toon op de 'Onepage Checkout'-pagina"
"Show invite customer form","Toon 'Klant uitnodigen'-formulier"
"Show prefererences section","Toon instellingen sectie"
"Show referral history","Toon doorverwijzingenhistorie"
"Show referral link","Toon doorverwijs-link"
"Signed Up","Geregistreerd"
"Status","Status"
"Subject","Onderwerp"
"Subject (Optional)","Onderwerp (Optioneel)"
"There was a problem saving your preferences.","Er is een probleem opgetreden bij het opslaan van uw instellingen."
"There was a problem with the invitation.","Er is een probleem opgetreden met de uitnodiging."
"To","Tot"
"To reduce the chance that your message is marked as spam, please follow this format:","Om de kans te verminderen dat je bericht als spam wordt gemarkeerd, schrijf emailadressen op in het volgende formaat:"
"Unable to save","Kan niet worden opgeslagen"
"Unknown","Onbekend"
"Yes","Ja"
"You don't have any referrals yet.","U heeft nog geen personen doorverwezen."
"Your Referral Code","Uw doorverwijs-code"
"Your Referral Email","Uw doorverwijs-e-mail"
"Your Referral URL","Uw doorverwijs-URL"
"Your preferences were saved successfully.","Uw instellen zijn succesvol opgeslagen."
"no","nee"
"yes","ja"
