"General","Algemeen"
"<p>Save your configuration after setting <a href=""http://www.mailplus.nl/"" target=""_blank"">MailPlus</a> key and secret</p>","<p>Druk op opslaan na het wijzigen van de <a href=""http://www.mailplus.nl/"" target=""_blank"">MailPlus</a>-instellingen.</p>"
"Mailplus ID","MailPlus ID"
"Api Mailplus Password","Uw Mailplus api wachtwoord"
"You will find the key in your MailPlus-account at MailPlus Settings","De key vindt u in uw MailPlus-account bij MailPlus instellingen"
"You will find the secret in your MailPlus-account at MailPlus Settings","De secret vindt u in uw MailPlus-account bij MailPlus instellingen"
"Mailplus trigger code for a new member","Mailplus trigger code voor nieuwe leden"
"Newsletter mailing was started","Nieuwsbrief mailing is gestart"
"Newsletter test mailing was started","Nieuwsbrief test mailing is gestart"
"MailPlus Campaigns","MailPlus Campagnes"
"Newsletter campaign","Welkom nieuwsbrief campagne"
"Abandoned cart campaign","Verlaten winkelwagen campagne (indien eCom Pro)"
"Product review campaign","Product review campagne (indien eCom Pro)"
"<p>Automatically start a campaign on newsletter subscribe. You may use this to confirm the email.</p>","<p>Nieuwsbrief campaing starten wanneer geabbonneerd word. Kan bijvoorbeeld gebruikt worden ter bevestigingen.</p>"
"<p>You can start a campaign on any newsletter subscription automatically. This allows you to confirm the subscriber by email.</p>","<p>Bij iedere nieuwsbriefaanmelding kunt u automatisch een campagne in MailPlus laten starten. Op deze manier kunt u een aanmeldbevestiging per e-mail versturen naar de nieuwe nieuwsbrief abonnee.</p>"
"Send MailPlus newsletter from Magento","Nieuwsbrief vanuit Magento versturen"
"Your MailPlus Automailer Id for a periodic newsletter","Uw MailPlus Automailer Id voor de periodieke nieuwsbrief"
"Advanced configuration","Geadvanceerde configuratie"
"Format images","Formaat afbeeldingen"
"Fixed width and height","Vaste breedte en hoogte"
"Variable width and height","Vaste breedte en variabele hoogte"
"Log","Logging"
"Contacts and Products","Contacten en producten"
"Only products","Alleen producten"
"Yes","Ja"
"No","Nee"
"Actions","Acties"
"Recommended","Aanbevolen"
"Debug options","Debug opties"
"Guest email","Email bezoeker"
"Firstname","Voornaam"
"Lastname","Achternaam"
"Customer","Klant"
"Customer id","Klant id"
"External id","Id"
"Enabled","Actief"
"Search","Zoeken"
"Reset Filter","Herstel Filter"
"User manager","MailPlus Contacten"
"Edit user","Contact wijzigen"
"Total received","Totaal ontvangen"
"Is test","Is testgebruiker"
"Date last bounced","Datum laatste gebounced"
"Errors","Fouten"
"Tries","Pogingen"
"Method","Methode"
"Last error","Laaste foutmelding"
"Created at","Aangemaakt op"
"Bounces manager","Bounces beheer"
"Page","Pagina"
"MailPlus Configuration","MailPlus Configuratie"
"Are you sure you want to delete these queues?","Deze commando's echt verwijderen?"
"Are you sure you want to delete these bounces?","Deze bounces echt verwijderen?"
"Are you sure you want to delete these contacts?","Deze contacten echt verwijderen?"
"Queue was successfully deleted","Api commando(s) successvol verwijderd"
"Bounce was successfully deleted","Bounce(s) successvol verwijderd"
"Contacts","Contacten"
"API Queue","API Wachtrij"
"Api queue manager","Api wachtrij beheer"
"MailPlus Api errors","MailPlus Api fouten"
"MailPlus Bounce reports","MailPlus Bounce rapporten"
"Found %u error(s) in the <a href=""%s"">MailPlus api queue</a>","Er zijn %u fout(en) in de <a href=""%s"">MailPlus api commando's</a>"
"Found %u <a href=""%s"">MailPlus bounces</a> in the last 2 weeks","Er zijn %u <a href=""%s"">MailPlus bounces</a> gevonden in de afgelopen 2 weken"
"Last synchronized","Laatst gesynchroniseerd"
"and","en"
"hours","uur"
"minutes","minuten"
"seconds","seconden"
"ago","geleden"
"Delete","Verwijderen"
"Lock #","Vergrendeling #"
"Feed list is empty","Feed lijst is leeg"
"Action","Actie"
"Feed list %s","Feed lijst %s"
"Return to feeds overview","Terug naar feed overzicht"
"per page","per pagina"
"Select All","Alles selecteren"
"Unselect All","Alles uit selecteren"
"Select Visible","Alle zichtbare selecteren"
"Unselect Visible","Zichtbare uit selecteren"
"Total %d contacts found","Totaal %d contacten gevonden"
"of %s pages","van %s pagina's"
"items selected","rijen geselecteerd"
"Get Feed","Feed opvragen"
"View list","Bekijk lijst"
"User id %s, customer %s (%s) is successful deleted.","Contact id %s, klant %s (%s) is verwijderd."
"User id %s (%s) is successful deleted.","Contact id %s (%s) is verwijderd."
"Users were successfully deleted","De contacten zijn succesvol verwijderd"
"Export users","Contacten exporteren"
"Import users","Contacten importeren"
"Import csv file","Importeer csv bestand"
"Import","Importeren"
"%d users were imported","%d contacten zijn geïmporteerd"
"The users were not imported due an error","Contacten zijn niet geïmporteerd wegens een fout"
"Automailer is not enabled","Automailer is niet ingeschakeld"
"Please enable AutoMailer in the <a#1>MailPlus configuration</a>.","U kunt AutoMailer inschakelen op de <a#1>MailPlus configuratie</a> pagina."
"Newsletters","Nieuwsbrieven"
"Newsletter","Nieuwsbrief"
"Add newsletter","Nieuwsbrief toevoegen"
"Subject","Onderwerp"
"Send","Verzonden"
"Opened","Geopend"
"Clicks","Geklikt"
"Bounces","Bounces"
"Date tested","Test datum"
"Date send","Datum verzonden"
"Date created","Aangemaakt"
"Save","Opslaan"
"Reset","Terugzetten"
"Test mailing","Test mailing"
"Sent mailing","Verzend mailing"
"New","Nieuw"
"Pending","Wachtende"
"Success","Succes"
"Failed","Fout"
"Retrying","Nogmaals proberen"
"Newsletter was succesfully saved","De nieuwsbrief is opgeslagen"
"Newsletter was successfully deleted","De nieuwsbrief is verwijderd"
"Newsletters successfully deleted","De nieuwsbrieven zijn verwijderd"
"Automailer is not enabled","De automailer is niet ingeschakeld"
"Are you sure you want to delete these newsletters?","Weet u zeker dat u deze nieuwsbrieven wilt verwijderen"
"You are about the send a mailing. Are you sure?","U wilt een mailing sturen. Weet u dit zeker?"
"A MailPlus newsletter is already on pending in the API Queue","Er staat al een nieuwsbrief op 'wachtende' in de API Queue."
"A MailPlus newsletter is already on pending","Er is al een MailPlus nieuwsbrief wachtend op verzending"
"Newsletter was already send, you cannot resend an old newsletter","De nieuwsbrief is al verzonden. U kunt deze niet nogmaals verzenden"
"Newsletter was already send, you cannot test an sent newsletter","De nieuwsbrief is al verzonden. U kunt deze niet meer testen omdat deze al verstuurd is"
"Newsletter must be tested before any mailing","De nieuwsbrief moet minimaal 1 keer getest worden"
"Add product feed item","Product in feed toevoegen"
"Please select items.","Maak eerst een selectie"
"Product feed items","Producten in rss feed"
"Product feed item","Product in rss feed"
"This product is already listed in the feed","Het product is al ingedeeld in de geselecteerde feed"
"Product feed item does not exist","De product in feed die u wilt bewerken bestaat niet"
"Product feed item was successfully saved","Product success opgeslagen in de feed"
"Edit product in feed","Wijzigen van een product in rss feed"
"Feed name","Feed naam"
"Product name","Product naam"
"Order","Volgorde"
"Store","Winkel"
"Feed list","Feed lijst"
"test","test"
"Download report","Download rapport"
"Refresh","Vernieuwen"
"View","Bekijken"
"Banner file","Banner-afbeelding"
"Introduction text","Introductietekst"
"Footer text","Footer-tekst"
"Submit","Uitvoeren"
"User was successful saved","Gebruiker is succesvol opgeslagen"
"Please login to resume continue shopping with your last cart","U moet eerst uzelf aanmelden voordat u verder kan met uw vorige winkelwagen"
"Invalid cart quote","Ongeldige winkelwagen"
"Your cart is restored","Uw vorige winkelwagen is hersteld"
"You were subscribed to our newsletter before you became member, you have now turned it off! To receive the newsletter again, <a href=""%s"">enable it</a>","U bent nu uitgeschreven uit nieuwsbrief. Voordat u lid was, had u de nieuwsbrief. Om de nieuwsbrief weer te ontvangen kunt u deze weer <a href=""%s"">activeren</a>"
"Description","Beschrijving"
"Subscribed","Geabbonneerd"
"The newsletter subscription service is temporarily offline, please try again later","De service om u aan te melden voor de nieuwsbrief is op dit moment offline. Probeer het later nogmaals"
"MailPlus synchronization is scheduled","MailPlus synchronisatie is ingepland"
"Last started at","Laaste keer gestart"
"Finished at","Afgerond op"
"Never","Nooit"
