"%s","%s"
"ACL Attribute Rules","ACL attribuut regels"
"ACL Attributes Information","ACL attributen informatie"
"Add","Toevoegen"
"Add Admin Role","Nieuwe beheerdersrol toevoegen"
"Add New Role","Nieuwe rol toevoegen"
"Address Type","Soort van adres"
"Admin","Beheerder"
"Allow","Toestaan"
"An error occurred while deleting the role.","Er is een fout opgetreden bij het verwijderen van de rol."
"An error occurred while saving attribute rules.","Er is een fout opgetreden bij het opslaan van attribuutregels."
"An error occurred while saving role.","Er is een fout opgetreden bij het opslaan van de rol."
"Api Rules Information","API regels informatie"
"Assigned","Toegewezen"
"Associate to Website","Associeer met website"
"Attribute Rules Information","Attribuut regel informatie"
"Attribute Set","Attributenset"
"Attributes","Attributen"
"Automatically Return Credit Memo Item to Stock","Automatisch een credit-nota maken bij product retour voorraad."
"Back","Terug"
"Backorders","Naleveringen"
"Base Currency","Basisvaluta"
"Base Customer Balance","Basis klantbalans"
"Base Discount","Basiskorting"
"Base Discount Amount","Basishoeveelheid korting"
"Base Item Subtotal","Basis product subtotaal"
"Base Item Subtotal Including Tax","Basis product subtotaal inclusief BTW"
"Base Original Price","Basis oorspronkelijke prijs"
"Base Price","Basisprijs"
"Base Price Including Tax","Basisprijs inclusief BTW"
"Base Shipping","Basis verzendkosten"
"Base Shipping Discount","Basis verzendkorting"
"Base Shipping Tax","Basis BTW op verzenden"
"Base Subtotal","Basis subtotaal"
"Base Subtotal Including Tax","Basis subtotaal inclusief BTW"
"Base Tax Amount","Basis BTW toeslag"
"Base Total Due","Basisbedrag totaal nog te betalen"
"Base Total Paid","Basisbedag totaal betaald"
"Base Total Refunded","Basisbedrag totaal terugbetaald"
"Buy Now URL","'Koop nu!' snelkoppeling"
"Can Be Divided into Multiple Boxes for Shipping","Kan in meerdere eenheden verzonden worden"
"Canceled Qty","Aantal geannuleerd "
"Catalog","Productcatalogus"
"Catalog Product","Catalogus product"
"CatalogInventory","Catalogus voorraad"
"Category ID","Categorie-ID"
"City","Plaats"
"Company","Bedrijf"
"Country","Land"
"Coupon Code","Waardeboncode"
"Create","Maak aan"
"Create Permanent Redirect for old URL","Maak een permanente doorverwijzing aan voor de oude URL"
"Created From","Aangemaakt via"
"Customer","Klant"
"Customer Address","Klantadres"
"Customer Address ID","Klantadres-ID"
"Customer Balance","Klantbalans"
"Customer First Name","Klant voornaam"
"Customer ID","Klantnummer"
"Customer Last Name","Klant achternaam"
"Customer Middle Name","Klant tussenvoegsel"
"Customer Prefix","Klant voorvoegsel"
"Customer Suffix","Klant achtervoegsel"
