"--Please Select--","--Maak een keuze--"
"API Login ID","API Login-ID"
"Accepted Currency","Geaccepteerde valuta"
"Authorize.net Direct Post","Authorize.net Direct Post"
"Card Verification Number","Kaartverificatienummer"
"Card Verification Number Visual Reference","Kaartverificatienummer visueel kenmerk"
"Close","Afsluiten"
"Credit Card Information","Creditcardgegevens"
"Credit Card Number","Creditcardnummer"
"Credit Card Type","Creditcardmaatschappij"
"Credit Card Types","Creditcardmaatschappijen"
"Credit Card Verification","Creditcard verificatie"
"Debug","Foutopsporing"
"Email Customer","E-mail klant"
"Enabled","Ingeschakeld"
"Expiration Date","Verloopdatum"
"Gateway URL","Betaalplatform URL"
"Maximum Order Total","Maximum bestelling totaal"
"Merchant MD5","Webwinkelier MD5"
"Merchant's Email","Webwinkelier e-mail"
"Minimum Order Total","Minimum order totaal"
"New Order Status","Nieuwe bestelstatus"
"Order saving error: %s","Bestelling foutief opgeslagen: %s"
"Payment Action","Betaalactie"
"Payment authorization error.","Betaalfout"
"Payment authorization error. Transacion id is empty.","Betaalfout. Het transactiekenmerk is leeg."
"Payment error. Order was not found.","Betaalfout. De bestelling is niet gevonden."
"Payment error. Paid amount doesn't match the order amount.","Betaalfout. Betaald bedrag komt niet overeen met totaal bestelling."
"Payment from Applicable Countries","Betaling vanuit alle landen"
"Payment from Specific Countries","Betaling vanuit specifieke landen"
"Please, choose payment method","Kies een betaalwijze"
"Response hash validation failed. Transaction declined.","Antwoord-hash validate mislukt. Transactie geweigerd."
"Sort Order","Sorteervolgorde"
"Test Mode","Testmodus"
"The order has been created.","De bestelling is aangemaakt."
"There was an error processing your order. Please contact us or try again later.","Er ging iets mis bij het verwerken van uw bestelling. Neem contact met ons op of probeer het later nog eens."
"Title","Titel"
"Transaction Key","Transactiecode"
"What is this?","Wat is dit?"
"You will be required to enter your payment details before you place an order.","Betaalgegevens dienen bij het plaatsen van een bestelling opgegeven te worden"
"Amount of %s approved by payment gateway. Transaction ID: ""%s"".","Het bedrag %s is goedgekeurd door het betaalplatform. Transactie ID: ""%s""."
