"1.5.0.0 & later","1.5.0.0 & later"
"Action","Actie"
"Add Author","Toevoegen auteur"
"Add Contents Path","Toevoegen inhoudspad"
"Add PHP Extension dependency","Toevoegen PHP uitbreidingsafhankelijkheid"
"Add Package dependency","Toevoegen Magento uitbreidingspakket"
"Add files","Toevoegen bestanden"
"Authors","Auteurs"
"Channel","Kanaal"
"Contents","Inhoud"
"Create Extension Package","Aanmaken uitbreidingspakket"
"Dependencies","Afhankelijkheden"
"Description","Beschrijving"
"Edit Extension","Bewerken uitbreiding"
"Email","E-mail"
"Extension","Uitbreiding"
"Extensions","Uitbreidingen"
"Failed to create the package.","Het pakket kon niet gemaakt worden."
"Failed to load the package data.","De pakketgegevens konden niet geladen worden."
"Failed to save the package.","Het pakket kon niet opgeslagen worden."
"Files","Bestanden"
"Folder","Map"
"Ignore","Negeren"
"Include","Insluiten"
"License","Licentie"
"License URI","Licentie URI"
"Load Local Package","Laad uitbreidingspakket vanaf lokale computer"
"Load local Package","Laad uitbreidingspakket vanaf lokale computer"
"Magento Connect","Magento Connect"
"Magento Connect Manager","Magento Connect Manager"
"Max","Max"
"Maximum","Maximum"
"Min","Min"
"Minimum","Minimum"
"Name","Naam"
"New Extension","Nieuwe uitbreiding"
"PHP Version","PHP Versie"
"Package","Pakket"
"Package Extensions","Pakketuitbreiding"
"Package File Name","Bestandsnaam van pakket"
"Package Info","Pakketinfo"
"Packages","Pakketten"
"Path","Pad"
"Pre-1.5.0.0","Versies eerder dan 1.5.0.0"
"Release Info","Uitgave informatie"
"Remove","Verwijderen"
"Save As...","Opslaan als..."
"Save Data and Create Package","Sla gegevens op en maak pakket"
"Save package with custom package file name","Opslaan pakket onder aangepaste bestandsnaam"
"Summary","Samenvatting"
"Supported releases","Ondersteunde versies"
"System","Systeem"
"Target","Doel"
"The package %s data has been loaded.","De gegevens van pakket %s zijn geladen."
"The package data has been saved.","De pakketgegevens zijn opgeslagen."
"There was a problem saving package data","Er was een probleem bij het opslaan van de pakketgegevens"
"Type","Soort"
"User","Gebruiker"
