"(Make sure you keep it in a safe place.)","(Zorg ervoor dat u het goed bewaart.)"
"(Optional. Leave blank for no prefix)","(Optioneel. Laat het veld leeg voor geen voorvoegsel)"
"(ver. %s)","(versie %s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Extra pad toegevoegd achter de Basis-URL om uw Admin Paneel te bereiken (bv. admin, backend, control etc.)"
"Admin Path","Admin pad"
"After successfull installation please click the button below.","Na een succesvolle installatie, a.u.b. op de onderstaande knop klikken."
"All packages were installed, click 'OK' to continue with installation.","Alle packages zijn geinstalleerd. Klik op OK om verder te gaan met de installatie."
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","Als alternatief kunt u de Handmatige Downloads en Upgrades"" methode proberen."""
"Base URL","Basis-URL"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Noteer uw encryptiesleutel voordat u weer naar uw winkel gaat! (Magento gebruikt deze om wachtwoorden, creditcards etc. te versleutelen.)"
"Check out our","Bekijk onze"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Alleen aanvinken als het niet mogelijk is de Secure-URL automatisch te valideren, bijvoorbeeld als HTTP-authenticatie verplicht is."
"Check this box only if it is not possible to automatically validate the Base URL.","Vink dit enkel aan als het niet mogelijk is om automatisch de Base-URL te valideren"
"Choose this if you would like to test frontend and backend functionality.","Kies dit als u de functionaliteit van het front-end en back-end wilt testen."
"Configuration","Configuratie"
"Confirm Password","Bevestig wachtwoord"
"Connection","Verbinding"
"Continue","Ga verder"
"Continue After Manual Download","Ga verder na handmatige download"
"Continue Full Download / SVN Installation","Volledige Download / SVN Installatie vervolgen"
"Create Admin Account","Admin-account aanmaken"
"Currently this is the most stable state available for Magento packages.","Dit is momenteel de meest stabiele toestand die beschikbaar is voor Magento pakketten."
"Database","Database"
"Database Connection","Database-verbinding"
"Database Name","Database naam"
"Database Name cannot be empty.","Database naam kan niet leeg zijn"
"Database Type","Database Type"
"Database connection error.","Database connectie mislukt"
"Database host","Database host"
"Database server does not support the InnoDB storage engine.","Database server ondersteunt het InnoDB opslagsysteem niet."
"Database user name","Database gebruikersnaam"
"Database user password","Database gebruikerswachtwoord"
"Default Currency","Standaard-valuta"
"Download","Downloads"
"Download Magento Core Modules and Updates","Download Magento Core modules en updates"
"Downloading and installing Magento, please wait...","Bezig Magento te downloaden en te installeren. Even wachten a.u.b."
"Email","E-mail"
"Email Address","E-mailadres"
"Enable Charts","Activeer grafieken"
"Enable this option if you want the charts to be displayed on Dashboard.","Activeer deze optie als u de grafieken op Dashboard wilt zien."
"Enable this option only if you have SSL available.","Deze optie alleen aanzetten als SSL beschikbaar is."
"Encryption Key","Encryptiesleutel"
"File System","Bestandsysteem"
"First Name","Voornaam"
"Full Download / SVN Installation","Volledige Download / SVN installatie"
"Get ready to experience Open-Source eCommerce Evolved.","Ervaar nu de Open Source e-Commerce Evolved"
"Go to Backend","Ga naar de backend"
"Go to Frontend","Ga naar de frontend"
"Having trouble installing Magento?","Problemen met het installeren van Magento?"
"Help Us to Keep Magento Healthy","Help ons Magento gezond te houden."
"Host","Hostnaam"
"I agree to the above terms and conditions.","Ik ga akkoord met bovenstaande voorwaarden"
"If you are a developer and would like to have the latest public updates, choose this option.","Deze optie selecteren als u ontwikkelaar bent en de laatste openbare updates wilt hebben."
"If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files.","Als u PHP als CGI draait, kunnen uw PHP-processen onder hetzelfde account draaien als het account dat u gebruikt voor het uploaden van Magento bestanden."
"If you are running the install wizard over a previously downloaded and installed Magento installation, proceed with this method.","Ga verder met deze methode als u de installatie over een bestaande Magento installatie wilt uitvoeren."
"If you do not wish or are not able to have Magento folders writeable for the web process, you could use PEAR executable located in the root of Magento installation.","Als u de Magento folders niet voor het web-proces beschijfbaar wilt of kunt instellen, dan kunt u de PEAR executable in de root van de Magento installatie gebruiken."
"If you have downloaded the full package or installed Magento through SVN, you should skip packages installation and validation by clicking the button below.","Indien u de volledige pakketten hebt gedownload of Magento middels SVN hebt geïnstalleerd, kunt u de pakket-installatie en -validatie overslaan door op de knop hieronder te klikken."
"If you wish to manage Magento packages through the web admin interface, you will need to have web writeable permissions applied to all Magento folders and files.","Als u Magento pakketten en/of modules in het Admin Panel wilt kunnen beheren, dienen de Magento folders en bestanden beschrijfbaar te zijn voor het webproces."
"If your server is running on MS Windows, most probably you will not need to change anything.","Als uw server op MS Windows draait, hoeft u hoogstwaarschijnlijk niets te wijzigen."
"In other cases you will need to make Magento files writeable for the user that the web server process is running under.","In overige gevallen dient u de Magento bestanden beschrijfbaar te maken voor het account waar het webproces onder draait."
"Installation","Installatie"
"Installation Guide","Installatiehandleiding"
"Installer does not exist for %s database type","Installer bestaat niet voor databasetype %s"
"Last Name","Achternaam"
"License Agreement","Licentie Overeenkomst"
"Locale","Lokalisatie"
"Locale settings","Lokale instellingen"
"Localization","Lokalisatie"
"Login Information","Login-gegevens"
"Magento","Magento"
"Magento Connect Manager Deployment","Magento Connect Manager Deployment"
"Magento Installation Wizard","Magento Installatiewizard"
"Magento is a trademark of Magento Inc. Copyright &copy; %s Magento Inc.","Magento is een handelsmerk van Magento Inc. Copyright © %s Magento Inc."
"Magento uses this key to encrypt passwords, credit cards and more. If this field is left empty the system will create an encryption key for you and will display it on the next page.","Magento gebruikt deze code om wachtwoorden, creditcards etc. te versleutelen. Als u dit veld leeg laat, zal het systeem een encryptiecode voor u aanmaken en deze op de volgende pagina tonen."
"Manual Downloads and Upgrades","Handmatige downloads en upgrades"
"No resource for %s DB model.","No resource for %s DB model."
"One of PHP Extensions ""%s"" must be loaded.","Een van PHP-extensies ""%s"" moet geladen zijn"
"PHP Extension '%s' loaded","PHP-extension '%s' is geladen"
"PHP Extensions ""%s"" must be loaded.","PHP-extensie ""%s"" moet geladen zijn."
"PHP extension ""%s"" must be loaded.","PHP-extensie ""%s"" moet geladen zijn"
"Package Management through the Web","Pakket en module beheer via het web"
"Password","Wachtwoord"
"Password Confirmation","Bevestiging wachtwoord"
"Path ""%s"" must be writable.","Pad ""%s"" moet beschrijfbaar zijn."
"Personal Information","Persoonlijke gegevens"
"Please correct the user data and try again.","PHP-extension '%s' is geladen"
"Please make sure that <code>mod_rewrite</code> is enabled in Apache configuration.","Zorg ervoor dat de <code>mod_rewrite</code> module in de Apache configuratie is geactiveerd."
"Please note that it is much less stable than beta.","Let op, deze code is stukken minder stabiel dan de beta."
"Please note that only UNIX, Linux and Mac OS X shells are currently supported. For Windows use the '%s' option.","Let op, alleen UNIX, LINUX en MAC OSX shells worden momenteel ondersteund. Voor Windows gebruikt u de '%s' optie."
"Please set all required settings before clicking Continue","Zorg dat alle verplchte instellingen correcte waarden hebben voordat u op Doorgaan klikt"
"Preferred stability: %s","Stabiliteitsvoorkeur: %s"
"Proceed With Automatic Download (%s)","Ga verder met automatische download (%s)"
"Provide a complete base URL for SSL connection. For example: %s","Geef een volledige base-URL voor SSL-verbinding. Bijvoorbeeld: %s"
"Report All Bugs","Rapporteer alle bugs."
"Required Fields","Verplichte velden"
"Response from server isn\'t valid.","Reactie van server isn niet geldig."
"Run admin interface with SSL","Gebruik de admin=interface via SSL"
"Run this in your shell from Magento root folder:","Draai dit in een shell vanuit de Magento root folder:"
"Save Session Data In","Sessie-gegevens opslaan in"
"Save Session Files In","Sessie-bestanden opslaan in"
"Secure Base URL","Veilige basis-URL"
"Session Storage Options","Sessie opslagopties"
"Setting preferred state to: %s","Zet voorkeur voor toestand naar: %s"
"Skip Base URL Validation Before the Next Step","Validatie basis-URL voor volgede stap overslaan"
"Skip Secure URL validation before next step","Validatie basis-URL voor volgende stap overslaan"
"Tables Prefix","Tabel-voorvoegsel"
"The URL ""%s"" is invalid.","URL ""%s"" is ongeldig."
"The URL ""%s"" is not accessible.","URL ""%s"" is niet bereikbaar."
"The database server version doesn\'t match system requirements (required: %s, actual: %s).","De database versie matcht de systeemvereisten niet (required: %s, actual: %s)."
"The table prefix should contain only letters (a-z), numbers (0-9) or underscores (_), the first character should be a letter.","Tabel-voorvoegsel mag alleen uit letters (a-z), cijfers (0-9) en underscores (_) bestaan. Het eerste teken moet een letter zijn."
"There was a problem installing Magento packages. Please read the log, correct errors and try again.","Er was een probleem tijdens het installeren van het Magento pakket en/of modules. Controleer het log bestand, corrigeer eventuele fouten en probeer het opnieuw."
"Time Zone","Tijdzone"
"Use Secure URLs (SSL)","Gebruik Secure URLs (SSL)"
"Use Web Server (Apache) Rewrites","Gebruik Web Server (Apache) Rewrites"
"User Name","Gebruikersnaam"
"User Password","Gebruikerswachtwoord"
"Username","Gebruikersnaam"
"Validation","Validatie"
"Web access options","Web toegang opties"
"Welcome","Welkom"
