"Activate Report","Rapportage activeren"
"All Products","Alle producten"
"CSV","CSV"
"CSV Delimiter","CSV scheidingsteken"
"Complete Report","Compleet rapport"
"Cron","Cron"
"Cronjob","Cronjob"
"Daily","Dagelijks"
"Day Monthly","Maandelijkse dag"
"Day Weekly","Wekelijkse dag"
"Every Time Magento Cron Run","Met de reguliere cron mee"
"Export Report","Rapport exporteren"
"Export Report CSV","Exporteer rapportage als CSV"
"Friday","Vrijdag"
"HTML","HTML"
"Individual Configuration","Individuele configuratie"
"Mail","E-mail"
"Minuts","Minuten"
"Minuts Interval","Minuten interval"
"Monday","Maandag"
"Monthly","Maandelijks"
"Only Active Products","Alleen actieve producten"
"Only Inactive Products","Alleen inactieve producten"
"Period","Periode"
"Product Option","Productopties"
"Product Status","Productstatus"
"Productattributes To Send","Productattributen die meegestuurd worden"
"Receiver Mail","E-mailadres ontvanger"
"Receiver Name","Naam ontvanger"
"Report Amount","Rapport waarde"
"Report Format","Formaat rapport"
"Report From Last Report Until Now","Laatste rapportage t/m heden"
"Report Option","Report Optionen"
"Saturday","Zaterdag"
"Send Report","Rapport versturen"
"Send Report Email","Verstuur rapportage per e-mail"
"Sender Mail","E-mailadres afzender"
"Sender Name","Naam afzender"
"Stock Report","Voorraad rapportage"
"Subject","Onderwerp"
"Sunday","Zondag"
"The Mail Was Send","De e-mail is verzonden."
"Thursday","Donderdag"
"Truncate Long Texts After X Characters","Tekst beperken tot X karakters"
"Tuesday","Dinsdag"
"Unable to save the cron expression.","Het is niet mogelijk de cronjob op te slaan"
"Wednesday","Woensdag"
"Weekly","Wekelijks"
"first","Eerste"
"last","Laatste"
