" is not compatible with Xib|payments"," is niet compatible met Xib|payments "
"<a href=""https://merchants.xibpayments.com/"" target=""_blank"">Apply for an account</a>","<a href=""https://merchants.xibpayments.com/"" target=""_blank"">Aanmelden voor een account</a>"
"Additional banks","Overige banken"
"All","Alle"
"Automatically create invoice","Automatisch factuur aanmaken"
"Debug","Debug"
"Debug Log","Debug Log"
"Description to show the customer in the Xib|payments screen. Variables:<br /><b>%id%</b> = Order ID","Beschrijving van de transactie voor de klant in het Xib|payments scherm. Variabelen:<br /><b>%id%</b> = Bestelling-ID"
"Descriptions to show the customer in the checkout screen. Leave empty for default names.","Beschrijving van de betaaloptie voor de klant. Leeg laten voor de standaard benamingen (Creditcard, iDeal.. etc)."
"Enabled","Actief"
"Error in creating an invoice","Fout opgetreden bij het aanmaken van de factuur"
"Failed order status","Mislukte order status"
"Invoice #%s created","Factuurnummer %s aangemaakt"
"Invoice not created","Factuur niet aangemaakt"
"Link directly to a payment option","Betaalmogelijkheden om direct aan de klant te tonen tijdens betaalprocedure (schakel ALL uit als u opties wilt tonen)"
"Live","Live"
"Live, Test or Debug mode (debug writes a log, see 'Debug Log' setting below)","Live, Test of Debug mode (debug maakt lokaal een log aan, zie 'Debug Log' instellingen hieronder)"
"Log name for debug logging (written in /var/log). Enable System/Developer/Log for this to work.","Log naam voor het debug log (weggeschrveen in /var/log). Activeer ook Systeem/Ontwikelaar/Log om deze functie te laten werken."
"Modus","Modus"
"New order status","Nieuwe order status"
"Order description","Order beschrijving"
"Order total amount does not match Xib|payments gross total amount","Order bedrag komt niet overeen met het Xib|payments totaal bedrag"
"Paid order status","Betaalde order status"
"Password Key","Password Sleutel"
"Password entered in the backend at <a href=""merchants.xibpayments.com/"" target=""_blank"">Xib|payments</a>","Wachtwoord zoals ingevoerd bij <a href=""merchants.xibpayments.com/"" target=""_blank"">Xib|payments</a>"
"Payment Option","Betaal mogelijkheid"
"Select your bank","Kies uw bank"
"Selected currency code ","Kies valuta code "
"Site ID from your account at <a href=""merchants.xibpayments.com/"" target=""_blank"">Xib|payments</a>","Site ID van uw account bij <a href=""merchants.xibpayments.com/"" target=""_blank"">Xib|payments</a>"
"Site Id","Site Id"
"Test","Test"
"Text shown in the checkout screen","Tekst die in beeld komt op de kassa pagina"
"Translation creditcard","Titel creditcard"
"Translation directebanking","Titel DIRECTebanking"
"Translation giropay","Titel giropay"
"Translation ideal","Titel ideal"
"Translation mistercash","Titel mistercash"
"Translation paypal","Titel paypal"
"Translation webmoney","Titel webmoney"
"Xib|payments Customer Information:","Xib|payments Klant Informatie:"
"Xib|payments Error Received:","Xib|payments Fout Ontvangen:"
"You will be redirected to Xib|payments, our payment processor, after you place the order.","Na het plaatsen van de bestelling wordt u doorverwezen naar Xib|payments, onze internet kassa."
"You will be redirected to Xib|payments, our payment processor.","U wordt doorverwezen naar Xib|payments, onze internet kassa."
"creditcard","Creditcard"
"directebanking","DIRECTebanking"
"giropay","Giropay"
"ideal","iDeal"
"mistercash","Mister Cash"
"paypal","Paypal"
"webmoney","Webmoney"
