"Allow a customer to modify a location","Sta een klant toe om zijn locatie aan te passen."
"Apply","Toepassen"
"Apply default shipping address","Pas standaard verzendadres toe."
"City","Plaats"
"City is required","Plaats is verplicht"
"Country","Land"
"Customer Locator","Klant locatie detector"
"Default Location","Standaard locatie"
"Options","Opties"
"Please select region","Selecteer regio"
"Region/State","Staat"
"Region/State is required","Staat is verplicht"
"State/Province","Staat"
"Your Location","Uw locatie"
"Your location has been saved.","Uw locatie is opgeslagen."
"ZIP/Postal Code is required","Postcode is verplicht"
"Zip/Postal Code","Postcode"
