"CDATA section (<![CDATA[ ]]>)","CDATA section (<![CDATA[ ]]>)"
"Configure Mana Extensions","Configure Mana Extensions"
"HTML parser error %s: %s expected%s","HTML parser error %s: %s expected%s"
"HTML parser error %s: %s or %s expected%s","HTML parser error %s: %s or %s expected%s"
"HTML parser error %s: closing tag for %s expected%s","HTML parser error %s: closing tag for %s expected%s"
"HTML parser error %s: unexpected %s%s","HTML parser error %s: unexpected %s%s"
"HTML read error %s: unexpected character%s","HTML read error %s: unexpected character%s"
"HTML read error %s: unexpected end of text%s","HTML read error %s: unexpected end of text%s"
"HTML read error %s: whitespace not expected%s","HTML read error %s: whitespace not expected%s"
"Loading...","Bezig met laden..."
"Please wait...","Wacht a.u.b..."
"Same For All Stores","Same For All Stores"
"This Magento installation contains pending database installation/upgrade scripts. Please turn off Magento compilation feature while installing/upgrading new modules in Admin Panel menu System->Tools->Compilation.","This Magento installation contains pending database installation/upgrade scripts. Please turn off Magento compilation feature while installing/upgrading new modules in Admin Panel menu System->Tools->Compilation."
"Use System Configuration","Gerbuik systeem-configuratie"
"attribute value","attribute value"
"comment (<!-- -->)","comment (<!-- -->)"
"element or attribute name","element or attribute name"
"nothing","nothing"
"raw text","raw text"
"General","General"
"MANAdev General Settings","MANAdev General Settings"
"JavaScript Libraries for Store Frontend","JavaScript Libraries for Store Frontend"
"JavaScript Libraries for Admin Panel","JavaScript Libraries for Admin Panel"
"jQuery (version 1.8.3)","jQuery (version 1.8.3)"
"Always runs in jQuery.noConflict() mode (slight modification) to prevent conflicts with Prototype JavaScript library used by Magento.","Always runs in jQuery.noConflict() mode (slight modification) to prevent conflicts with Prototype JavaScript library used by Magento."
"Load if required, minified version (recommended)","Load if required, minified version (recommended)"
"Load on all pages, minified version","Load on all pages, minified version"
"Load if required, full version with comments","Load if required, full version with comments"
"Load on all pages, full version with comments","Load on all pages, full version with comments"
"Do not load","Do not load"
"Take action as defined in theme layout XML files","Take action as defined in theme layout XML files"
"Use Default","Use Default"
"Advices, Warnings and Messages","Advices, Warnings and Messages"
"Global Configuration","Global Configuration"
"You must call setData('store_id', ...) before calling load() on %s objects.","You must call setData('store_id', ...) before calling load() on %s objects."
