"'Above Products' Filters As Drop Down Menu Options","'Above Products' Filters As Drop Down Menu Options"
"'Above Products' Filters As Horizontally Laid Filter Options","'Above Products' Filters As Horizontally Laid Filter Options"
"Above Product List","Above Product List"
"Applicable Only to Category Pages","Applicable Only to Category Pages"
"Applicable Only to Layered Navigation 'Above Products'","Applicable Only to Layered Navigation 'Above Products'"
"Categories Block Position","Categorie-block positie"
"Defined in Current Theme","Defined in Current Theme"
"Drop Down Menu","Drop Down Menu"
"Drop Down Menu Width","Drop Down Menu Width"
"Filter Positioning","Filter Positioning"
"Hide","Verbergen"
"Horizontally Laid Filters","Horizontally Laid Filters"
"In Left Column","In Left Column"
"In Right Column","In Right Column"
"Menu Width","Menu Width"
"Minimum Filter Height","Minimum Filter Height"
"Minimum Height of Horizontally Displayed Filter","Minimum Height of Horizontally Displayed Filter"
"No","Nee"
"Show","Toon"
"Show 'Above Products' Filters As","Show 'Above Products' Filters As"
"Show 'Currently Shopping By' Text","Toon 'Momenteel zoekt u op' Text"
"Show 'Shop By' Text","Toon 'Winkel op' tekst"
"Show Applied Filters Above Products","Show Applied Filters Above Products"
"Show Applied Filters in Left Column","Show Applied Filters in Left Column"
"Show Applied Filters in Right Column","Show Applied Filters in Right Column"
"Show Filters","Show Filters"
"Value in pixels (only number). Applied to a part with options which drops down.","Waarde in pixel (alleen cijfer). Toegepast op een gedeelte van de opties welke naar beneden uitklappen."
"Value in pixels (only number). Use it if your filters will wrap into two or more rows, so the second and other rows flow nicely. Leave blank if filters always fit into one row.","Waarde in pixel (alleen cijfer). Gebruik het als uw filters naar de tweede regel terug lopen, zodat deze netjes terug lopen. Laat leeg als filters altijd op één regel passen."
"Yes, But Only Filters Applied In This Block","Yes, But Only Filters Applied In This Block"
"Yes, Show All Filters Applied On Whole Page","Yes, Show All Filters Applied On Whole Page"
"Min Width","Min Width"
"Max Width","Max Width"
"Initially collapsed; expanded manually","Initially collapsed; expanded manually"
"Initially expanded; collapsed manually","Initially expanded; collapsed manually"
"Accordion: one filter expanded at a time","Accordion: one filter expanded at a time"
"Two Columns Mode Maximum Width","Two Columns Mode Maximum Width"
"Three Columns Mode Maximum Width","Three Columns Mode Maximum Width"
"Four Columns Mode Maximum Width","Four Columns Mode Maximum Width"
"When horizontal layered navigation is wider than specified number of pixels, this mode is not used. Leave empty to disable this mode. If none of width modes is used, five column layout is used.","When horizontal layered navigation is wider than specified number of pixels, this mode is not used. Leave empty to disable this mode. If none of width modes is used, five column layout is used."
"Mobile Layered Navigation","Mobile Layered Navigation"
"Hide If Content Width Is Wider Than","Hide If Content Width Is Wider Than"
"in pixels. Leave empty to disable mobile layout feature. Note that mobile layout may require theme-related CSS changes.","in pixels. Leave empty to disable mobile layout feature. Note that mobile layout may require theme-related CSS changes."
"Left and Right Column Filters","Left and Right Column Filters"
"Leave in columns","Leave in columns"
"Move to mobile layered navigation","Move to mobile layered navigation"
"Copy to mobile layered navigation","Copy to mobile layered navigation"
"Behavior","Behavior"
"Effect Duration","Effect Duration"
"Hide If Body Width Is More Or Equal To","Hide If Body Width Is More Or Equal To"
"",""
