"Categories Block Position","Categorie-block positie"
"Show 'Shop By' Text","Toon 'Winkel op' tekst"
"Show 'Currently Shopping By' Text","Toon 'Momenteel zoekt u op' Text"
"Left","Links"
"Top","Bovenkant"
"Right","Rechts"
"None (Hide)","Geen (verberg)"
"Layered Navigation Position","Gelaagede navigatie positie"
"Top (as Menu)","Boven (Als menu)"
"Minimum height","Minimale hoogte"
"Value in pixels (only number). Use it if your filters will wrap into two or more rows, so the second and other rows flow nicely. Leave blank if filters always fit into one row.","Waarde in pixel (alleen cijfer). Gebruik het als uw filters naar de tweede regel terug lopen, zodat deze netjes terug lopen. Laat leeg als filters altijd op één regel passen."
"Maximum Menu Width","Maximale menu-breedte"
"Value in pixels (only number). Applied to a part with options which drops down.","Waarde in pixel (alleen cijfer). Toegepast op een gedeelte van de opties welke naar beneden uitklappen."
