" - Please choose your bank - "," - Kies uw bank - "
"3-D Secure","3-D Secure"
"3-D Secure Window Mode","3-D Secure Venster Modus"
"<p>DirectLink is supported by CreditCard payments and requires a secure HTTPS connection and PCI certification.</p><p>To use DirectLink with 3-D secure, you must additionally enable the Direct3-D module (in your Ogone account).</p>","<p>DirectLink wordt ondersteund door bepaalde CreditCard betalingen en benodigd een HTTPS verbinding en PCI certificatie.</p><p>Om DirectLink met 3-D secure te gebruiken, dient u bovendien de Direct3-D module te activeren (in uw Ogone account).</p>"
"API Password","API Wachtwoord"
"API User ID","API Gebruiker-ID"
"Account Settings","Account Instellingen"
"Authorization","Authorisatie"
"Authorization refused.","Autorisatie geweigerd."
"Authorization unknown: a technical problem arose during the authorization process. The payment status could not be determined.","Autorisatie onbekend: een technisch probleem deed zich voor tijdens de autorisatie. De betaalstatus kon niet worden vastgesteld."
"Auto-detect iPhone and use Ogone's iPhone static template. You can still use below fields to tweak the look and feel.","Auto-detectie van iPhone en gebruik van Ogone's iPhone statische template. U kunt onderstaande velden nog steeds gebruiken."
"Background Color of Ogone Template","Achtergrondkleur van de Ogone Template"
"Button Background Color of the Ogone Template","Button achtergrondkleur van de Ogone Template"
"Button Text Color of the Ogone Template","Button achtergrondkleur van de Ogone Template"
"Choose Yes to transfer base currency and prices. Choose No to transfer prices in the customer's currency from the frontend currency dropdown.","Choose Yes to transfer base currency and prices. Choose No to transfer prices in the customer's currency from the frontend currency dropdown."
"Copy this field from your Ogone technical settings.","Kopieer dit veld vanuit uw Ogone technische instellingen."
"Could not determine payment status. Please contact the store owner to resolve the matter.","De betaalstatus kon niet worden vastgesteld. Neem alstublieft contact op met de winkelier om het probleem op te lossen."
"Create invoice","Create invoice"
"Create invoice after succesful payment.","Create invoice after succesful payment."
"Debug Mode","Debug Modus"
"Differs from the regular SHA-IN Pass Phrase. Copy this field from your Ogone technical settings.","Verschilt van het normale SHA-IN Wachtwoord. Kopieer dit veld vanuit uw Ogone technische instellingen."
"Direct Sale","Directe Verkoop"
"DirectLink Gateway PRODUCTION url","DirectLink Gateway PRODUCTION url"
"DirectLink Gateway TEST url","DirectLink Gateway TEST url"
"DirectLink SHA-IN Pass Phrase","DirectLink SHA-IN Wachtwoord"
"DirectLink Settings","DirectLink Instellingen"
"Do you want to show payment method logos on the checkout payment selection page?","Wilt u logos van de betaalmethoden in de checkout tonen?"
"E-commerce with SSL encryption","E-commerce with SSL encryption"
"Electronic Commerce Indicator","Electronic Commerce Indicator"
"Email Invoice","Email Factuur"
"Email Order","Email Order"
