"Active","Active"
"An error occured trying to apply the redemption while adding the product to your cart: ","An error occured trying to apply the redemption while adding the product to your cart: "
"Click to see a breakdown of how your points affect this line item.","Click to see a breakdown of how your points affect this line item."
"Customer Groups","Customer Groups"
"Description","Description"
"Edit","Edit"
"Edit item parameters","Edit item parameters"
"From Date","From Date"
"General Information","General Information"
"Get help with rule priorities.","Get help with rule priorities."
"If you're seeing this page it confirms that Sweet Tooth is installed and the Points-onyl Extension is ready for use.","If you're seeing this page it confirms that Sweet Tooth is installed and the Points-onyl Extension is ready for use."
"Inactive","Inactive"
"Move to Wishlist","Move to Wishlist"
"NOT LOGGED IN","NOT LOGGED IN"
"Not enough points to checkout.","Not enough points to checkout."
"Please log-in to checkout while spending points.","Please log-in to checkout while spending points."
"Points Earned","Points Earned"
"Points Spent","Points Spent"
"Points-only Mode","Points-only Mode"
"Priority","Priority"
"Products Can Only Be Purchased With This Rule","Products Can Only Be Purchased With This Rule"
"Products can only be purchased with points defined in the conditions tab for this rule.","Products can only be purchased with points defined in the conditions tab for this rule."
"Qty","Qty"
"Remove Item","Remove Item"
"Remove item","Remove item"
"Rule Name","Rule Name"
"See product details","See product details"
"Status","Status"
"Sweet Tooth must be installed on the server in order to use the Sweet Tooth Points-only Store","Sweet Tooth must be installed on the server in order to use the Sweet Tooth Points-only Store"
"To Date","To Date"
"Total","Total"
"Total incl. tax","Total incl. tax"
"Websites","Websites"
