"    |-add depends: ","    |-add depends: "
"    |-from: ","    |-from: "
"    |-to  : ","    |-to  : "
" For every X points spent, discount Y"," For every X points spent, discount Y"
" For every X points spent, discount Y from price"," Voor iedere X punten besteedt, Y korting in prijs"
"# Products In Rewards Catalog","# Products In Rewards Catalog"
"% Off","% Off"
"%s Off","%s Off"
"%s Point","%s Point"
"%s Points","%s Points"
"%s are on hold.","%s wacht op actie."
"%s are pending approval.","%s wachten op goedkeuring."
"%s are pending time.","%s are pending time."
"%s is not allowed to use the %s points currency.","%s is niet gemachtigd om het %s puntensysteem te gebruiken."
"%s%%","%s%%"
"%s, %s off","%s, %s off"
"(Before Catalog Disc.)","(Before Catalog Disc.)"
"(Earn %s for signing up)","U ontvangt %s voor het inschrijven op onze nieuwsbrief!"
"* Points cancelled because user unliked page on Facebook.","* Points cancelled because user unliked page on Facebook."
"--Don't Transfer Points--","--Punten niet overzetten--"
"1. backup and open: ","1. backup and open: "
"2. change class extends\n","2. change class extends\n"
"3. backup and open: ","3. backup and open: "
"4. change rewrite: ","4. change rewrite: "
"5. backup and open: ","5. backup and open: "
":: Possible solution ::",":: Possible solution ::"
"<i>No points</i>.","<i>Geen punten</i>."
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d producten(s)</strong> gevonden met de volgende zoekcriteria"
"A valid redemption id to apply to this cart was not selected.","Geen geldig puntenregel-id om toe te passen."
"A valid redemption id to apply to this product was not selected.","Geen geldig puntenregel-id geselecteerd om op dit product toe te passen."
"Action to take once conditions are satisfied","Action to take once conditions are satisfied"
"Activate Layout Actions","Activate Layout Actions"
"Add Currency","Add Currency"
"Add New Cart Distributions Rule","Add New Cart Distributions Rule"
"Add New Cart Redemption Rule","Add New Cart Redemption Rule"
"Add New Catalog Distribution Rule","Add New Catalog Distribution Rule"
"Add New Catalog Redemption Rule","Add New Catalog Redemption Rule"
"Add New Customer Behavior Rule","Add New Customer Behavior Rule"
"Add New Special Rule","Nieuwe speciale puntenregel toevoegen"
"Administrative Adjustment","Administratieve aanpassingen"
"After Newsletter","After Newsletter"
"After Order","After Order"
"After Poll","After Poll"
"After Rating","After Rating"
"After Review","After Review"
"After Send Friend","After Send Friend"
"After Sign up","After Sign up"
"After Tag","After Tag"
"All Other Transfers","All Other Transfers"
"All Point Transfers","Alle transacties"
"All Sweet Tooth rules and settings were imported successfully.","All Sweet Tooth rules and settings were imported successfully."
"All requested reward redemptions were applied to the product.","Puntenkortingen succesvol toegepast."
"All requested reward redemptions were applied to your cart","Alle puntenkortingen zijn toegepast op uw winkelwagen"
"All requested reward redemptions were removed from the product.","Alle puntenkortingen succesvol van product verwijderd."
"All requested reward redemptions were removed from your cart","Alle puntenkortingen succesvol verwijderd uit uw winkelwagen"
"All rules and settings were deleted.","All rules and settings were deleted."
"An error occured trying to apply the redemption while adding the product to your cart: ","Fout bij het plaatsen van het product in uw winkelwagen, punten kunnen niet omgerekend worden: "
"An error occured while trying to apply the redemption to your cart.","Fout bij het toepassen van puntenkorting op uw winkelwagen."
"An error occured while trying to remove the redemption from your cart.","Fout bij het verwijderen van puntenkortingen uit uw winkelwagen."
"An error occurred while trying to process your attempt to redeem points on a product.  Please contact the store ({$this->getSupportEmail()}).","An error occurred while trying to process your attempt to redeem points on a product.  Please contact the store ({$this->getSupportEmail()})."
"An item was not selected or the item selected was invalid","U heeft een product vergeten te selecteren of een ongeldig product geselecteerd"
"Applicable Distribution Rules","Applicable Distribution Rules"
"Applicable Redemption Rules","Applicable Redemption Rules"
"Apply Additional Discount","Apply Additional Discount"
"Apply Catalog Rules","Apply Catalog Rules"
"Apply the rule actions only to cart items matching the following conditions (leave blank for all items)","Apply the rule actions only to cart items matching the following conditions (leave blank for all items)"
"Apply to Shipping Amount","Apply to Shipping Amount"
"Approved","Goedgekeurd"
"Are you sure you want to create the transfer for all selected customers?","Weet u zeker dat u de transactie wilt aanmaken voor alle geselecteerde klanten?"
"Are you sure you would like to delete all Sweet Tooth rules?  Unless you haveve made a back-up, this is irreversable...","Are you sure you would like to delete all Sweet Tooth rules?  Unless you haveve made a back-up, this is irreversable..."
"Are you sure you would like to revert all Sweet Tooth config?  Unless you have made a back-up, this is irreversable...","Are you sure you would like to revert all Sweet Tooth config?  Unless you have made a back-up, this is irreversable..."
"As low as <b>%s</b> using <b>%s</b>","Slechts <b>%s</b> bij besteding van <b>%s</b>"
"Attribute group with the \","Your Points"
"Automatically Approve Points On Shipment","Automatically Approve Points On Shipment"
"Automatically Approve Points on Invoice","Automatically Approve Points on Invoice"
"Automatically Remove Points On Cancel","Automatically Remove Points On Cancel"
"Automatically approve all related point transfers when the customer pays for the order.","Automatically approve all related point transfers when the customer pays for the order."
"Automatically approve all related point transfers when the order has been shipped.","Automatically approve all related point transfers when the order has been shipped."
"Balance: ","Balans: "
"Before Points","Voor puntenaftrek"
"Bericht","Bericht"
"Buy X get Y free (discount amount is Y) [in development]","Buy X get Y free (discount amount is Y) [in development]"
"Cache is disabled on: %s","Cache is disabled on: %s"
"Cache should be disabled while making changes to the system","Cache should be disabled while making changes to the system"
"Can customers begin to redeem points before they log-in?  They will eventually have to log-in to complete their order either way.","Can customers begin to redeem points before they log-in?  They will eventually have to log-in to complete their order either way."
"Can customers use redemptions without being logged in?","Can customers use redemptions without being logged in?"
"Can not create currencies. Available in future upgrades of Sweet Tooth.","Valuta bestaat niet."
"Can not delete currency. Available in future upgrades of Sweet Tooth.","Kan valuta niet verwijderen."
"Can not execute a mass delete","Niet mogelijk om batch te verwijderen"
"Can't get customer instance","Can't get customer instance"
"Catalog","Catalog"
"Catalog Earning Rules","Catalog Earning Rules"
"Catalog Point Rule","Catalogus prijsregel"
"Catalog Points Distribution Rule","Catalog Points Distribution Rule"
"Catalog Points Distribution Rules","Catalog Points Distribution Rules"
"Catalog Points Redemption Rule","Catalog Points Redemption Rule"
"Catalog Points Redemption Rules","Catalog Points Redemption Rules"
"Catalog Points Rules","Catalogus puntenregels"
"Catalog Redeeming Rules","Catalog Redeeming Rules"
"Catalog Rule Name","Catalog Rule Name"
"Change # Points Spent","Change # Points Spent"
"Change Points Usage","Change Points Usage"
"Check PHP core","Check PHP core"
"Check PHP extensions","Check PHP extensions"
"Check PHP for Suhosin","Check PHP for Suhosin"
"Check PHP has required extension","Check PHP has required extension"
"Check PHP is a supported version and settings will not cause issues","Check PHP is a supported version and settings will not cause issues"
"Check Sweet Tooth database for required tables and columns","Check Sweet Tooth database for required tables and columns"
"Check configuration defaults for settings that aid in reducing issues","Check configuration defaults for settings that aid in reducing issues"
"Check configuration defaults for settings that aid in reducing issues.","Check configuration defaults for settings that aid in reducing issues."
"Check cron is running scheduled tasks","Check cron is running scheduled tasks"
"Check cron is running scheduled tasks.","Check cron is running scheduled tasks."
"Check crontab has: */5 * * * * /bin/sh /[magento_path]/cron.sh","Check crontab has: */5 * * * * /bin/sh /[magento_path]/cron.sh"
"Check database","Check database"
"Check extensions for rewrite conflicts","Check extensions for rewrite conflicts"
"Check filesystem access on %s","Check filesystem access on %s"
"Check if PHP has Suhosin running. Suhosin can prevent some needed functions from running","Check if PHP has Suhosin running. Suhosin can prevent some needed functions from running"
"Check if PHP is run under a [Switch User] ","Check if PHP is run under a [Switch User] "
"Check modules for rewrite conflicts","Check modules for rewrite conflicts"
"Check required template files are found","Check required template files are found"
"Check template files","Check template files"
"Check that Magento has read/write on filesystem","Check that Magento has read/write on filesystem"
"Check that Magento has read/write on filesystem.","Check that Magento has read/write on filesystem."
"Checkout by Amazon","Checkout by Amazon"
"Choose # of Points to Spend","Choose # of Points to Spend"
"Choose how many points to spend","Choose how many points to spend"
"Clear Selections","Clear Selections"
"Click here to change points spent on this order.","Click here to change points spent on this order."
"Click to see a breakdown of how your points affect this line item.","Klik voor een uitgebreide beschrijving van de wijze waarop uw punten worden gebruikt."
"Comment","Beschrijving"
"Comments/Notes","Bericht / aantekening"
"Config settings were reverted.","Config settings were reverted."
"Could not approve points.","Kon punten niet goedkeuren."
"Could not interface with customer rewards system.","Fout in het puntensysteem."
"Could not reward you for your Facebook mention.","Could not reward you for your Facebook mention."
"Could not successfully revoke points associated with cancelled order.","Could not successfully revoke points associated with cancelled order."
"Could not transfer points.","Fout bij het overzetten van punten."
"Coupon","Coupon"
"Create A New Transfer","Maak nieuwe transactie"
"Create And Continue Edit","Create And Continue Edit"
"Create New Currency","Maak nieuwe valuta aan"
"Create New Transfer","Create New Transfer"
"Created Time","Transactiedatum"
"Cron","Cron"
"Cron timestamp: [%s], current timestamp: [%s]","Cron timestamp: [%s], current timestamp: [%s]"
"Cron timestamp: [%s], current timestamp: [%s].","Cron timestamp: [%s], current timestamp: [%s]."
"Currency","Valuta"
"Currency Appearance","Currency Appearance"
"Currency Caption","Currency Caption"
"Currency Image Preview","Valuta voorvertoning afbeelding"
"Currency Manager","Versturen en ontvangen"
"Currency Value","Currency Value"
"Currency does not exist","Valuta bestaat niet"
"Customer %s with the e-mail %s has a birthday on %s and been rewarded %s.","Customer %s with the e-mail %s has a birthday on %s and been rewarded %s."
"Customer Account Summary Message","Customer Account Summary Message"
"Customer Behavior","Customer Behavior"
"Customer Behavior Earning Rules","Customer Behavior Earning Rules"
"Customer Behavior Points Rules","Customer Behavior Points Rules"
"Customer Behavior Rule","Customer Behavior Rule"
"Customer Earning Style","Customer Earning Style"
"Customer Group Is","Customer Group Is"
"Customer Group Is... ","Customer Group Is... "
"Customer ID","Klant-ID"
"Customer Point Balances","Klant puntbalansen"
"Customer Point Distributions","Puntenverdeling klanten"
"Customer Point Redemptions","Puntbesteding klanten"
"Customer Point Transfers","Customer Point Transfers"
"Customer Rewards","Customer Rewards"
"Customer Spending Style","Customer Spending Style"
"Customer Spends","Customer Spends"
"Customer Spends Points","Customer Spends Points"
"Customer behavior","Customer behavior"
"Customer birthday occurs","Customer birthday occurs"
"Customer had a birthday","Customer had a birthday"
"Customer redeems the following points","Customer redeems the following points"
"Customer will get points on a birthday.","Customer will get points on a birthday."
"Customer will get points when they like a page with Facebook.","Customer will get points when they like a page with Facebook."
"Customer with email","Customer with e-mail"
"Customer with id #","Customer with id #"
"Customer...","Customer..."
"Customers' Points","Customers' Points"
"Date","Datum"
"Date is After...","Date is After..."
"Date is Before","Date is Before"
"Date is Before...","Date is Before..."
"Date is Before: ","Date is Before: "
"Date is before...","Date is before..."
"Date is on or After","Date is on or After"
"Date is on or after...","Date is on or after..."
"Deduct Points","Punten verminderen"
"Deduct X points from customer","Verlaag punten met X"
"Default Label","Default Label"
"Default Rule Label for All Store Views","Default Rule Label for All Store Views"
"Default message for mass transfers","Default message for mass transfers"
"Delete All","Delete All"
"Delete Campaign","Delete Campaign"
"Delete Transfer","Transactie verwijderen"
"Deletes all Sweet Tooth rules","Deletes all Sweet Tooth rules"
"Did you know that you can customize your Sweet Tooth points currency from the theme as well in more detail?","Did you know that you can customize your Sweet Tooth points currency from the theme as well in more detail?"
"Disable Earnings When Points Used In Cart","Disable Earnings When Points Used In Cart"
"Disable Earnings When Points Used In Catalog","Disable Earnings When Points Used In Catalog"
"Discount Qty Step (Buy X, only for ","Discount Qty Step (Buy X, only for "
"Discount Style","Discount Style"
"Display Settings","Display Settings"
"Distribution Rules","Distribution Rules"
"Distributions","Distributions"
"Don","Don"
"E-mail template for first warning e-mail","E-mail template for first warning e-mail"
"E-mail template for second warning e-mail","E-mail template for second warning e-mail"
"Eamil Address","E-mailadres"
"Earn %s","Verdien %s"
