"Point Of Sales","Kassa"
"Products","Producten"
"Add product","Product toevoegen"
"Create Order","Bestelling maken"
"Product","Product toevoegen"
"Qty","Aantal"
"Price incl tax","Prijs incl. btw"
"Total incl tax","Totaal incl. btw"
"Show / Hide Add Products","Tonen / verbergen producten"
"Select","Selecteren"
"Customer","Klant"
"Guest","Gast"
"New customer","Nieuwe klant"
"Existing customer","Bestaande klant"
"Payment Method","Betaalmethode"
"Shipping Method","Verzendmethode"
"Create invoice","Factuur maken"
"Create shipment","Pakbon maken"
"Point of Sales","Kassa"
"Order successfully created","Bestelling succesvol aangemaakt"
"Download Invoice","Download factuur"
"Download Shipment","Download pakbon"
"Display Order","Toon bestelling"
"Auto print invoice","Automatisch printen factuur"
"Auto print shipment","Automatisch printen vervoer"
"Show send to printer buttons","Toon zend naar printer buttons"
"Show print buttons","Toon printer buttons"
"Product already added !","Product is reeds toegevoegd."
"Tax (%)","BTW (%)"
"Store","Winkel"
"Default Country","Standaard land"
"Customers group","Klant groep"
"Default Payment Method","Standaard betaalmethode"
"Default Shipping Method","Standaard verzendmethode"
"Currency","Valuta"
"Order form","bestelling formulier"
"Sales report","Rapportage bestellingen"
"Refresh","Vernieuwen"
"Send Invoice to Printer","Stuur factuur naar printer"
"Send Shipment to Printer","Stuur pakbon naar printer"
"Store pickup","Ophalen uit winkel"
"Tick create shipment checkbox","Vink maak pakbon aan"
"Tick create invoice checkbox","Vink maak factuur aan"
"Customer email already used !","Klant e-mail reeds in gebruik"
"Product barcode attribute","Product barcode attribuut"
"Ready","Klaar"
"On hold","Vasthouden"
"Barcode Scanner","Barcode scanner"
"%s added","%s toegevoegd"
"Cant find product with barcode = %s","Kan geen product vinden met de barcode %s."
"Enable","Inschakelen"
"Empty string","Lege regel"
"Shipped","Verzonden"
"Print Invoice","Factuur afdrukken"
"Print Shipment","Pakbon afdrukken"
"Price excl tax","Prijs excl. Btw"
"Tax Rate","Btw schaal"
"Email","E-mail"
"Visibility","Zichtbaarheid"
"Status","Status"
"Price (incl tax)","Prijs (incl. btw)"
"Firstname","Voornaam"
"Lastname","Achternaam"
"Company","Bedrijf"
"Address","Adres"
"City","Plaats"
"Zip","Postcode"
"Country","Land"
"Mobile","Mobiel"
"Phone","Telefoon"
"Fax","Fax"
"Comments","Opmerkingen"
"Other sales","Andere bestellingen"
"Customer information","Klant informatie"
"Customer address","Klant adres"
"Add products","Product toevoegen"
"Place order","Bestelling plaatsen"
"Create new order","Nieuwe bestelling maken"
"Note : if Embedded ERP 2.7.6+ is installed, you dont need to specify attribute","Opmerking: Als Embedded ERP 2,7,6+ ge�nstalleerd is, vergeet dan niet het attribuut te specificeren."
"Order comments","Bestelling opmerkingen"
"Invoice comments","Factuur opmerkingen"
"Print order","Print bestelling"
"Send Order to Printer","Stuur bestelling naar printer"
"Change calculator","Rekenmachine aanpassen"
"Calculate change","Bereken teruggave"
"Order total","Totaal bestelling"
"Given amount","Gegeven bedrag"
"Change ","Wisselgeld"
"QTY","""AANTAL"""
"PRODUCT","""PRODUCT"""
"PRICE","""PRIJS"""
"Shelf location","Opslag locatie"
"Newsletter subscription","Nieuwsbrief aanmelding"
"Subscribe to newsletter","Aanmelden voor nieuwsbrief"
"Stock level","Voorraad niveau"
"Price","Prijs"
"Margin","Marge"
"Cost ","Kosten"
"Undefined","Onbekend"
"Sub Total","Subtotaal"
"Shipping","Verzending afdrukken"
"Tax","Btw"
"Download Receipt","Download ticket"
"Search for orders : number, client name or email...","Zoek naar producten: Nummer, klant naam of email"
"Search for products : name, sku, barcode...","Zoek naar producten: Naam, sku, barcode..."
"Product Shortcuts","Product snelkoppelingen"
"Guest","Gast"
"General","Algemeen"
"Totals","Totaal"
"Left to pay","Betaal restant"
"Payments","Betalingen"
"Cash","Contant"
"Check","Cheque"
"Bankwire","Bankoverschrijving"
"Storecredit","Winkeltegoed"
"Search orders","Orders zoeken"
"Back to Magento","Terug naar Magento"
"Clear cart","Leeg winkelmandje"
"Export payments","Betalingen exporteren"
"Change user","Verander gebruiker"
"Change store","Verander winkel"
"Global configuration","Globale configuratie"
"User settings","Gebruikersinstellingen"
"Payment method","Betalingsmethode"
"Seller","Verkoper"
"Please select at least one product !","Selecteer ten minste één product!"
"Payments do not cover order total, do you want to continue ?","De betalingen hebben geen betrekking op de totale bestelling, wilt u doorgaan?"
"Please wait...","Even geduld aub..."
"Multiple payment","Meerdere betalingen"
"No payment record available","Geen betaalgeschiedenis beschikbaar"
"Customer Address","Adres van de klant"
"Total due","Totaal verschuldigd"
"Money to give back","Geld terug te geven"
"Enter payment","Voer betaling in"
